Fault Strike (deg),Shear stress Landers (kPa),Normal stress Landers (kPa),Shear stress yearly (kPa),Normal stress yearly (kPa),CFF_a (kPa/year),CFF_1000 (kPa),CFF_1000+Landers (kPa),Delta t (yr)
0,-45.6435,3.294,0.33075,9.1962,2.16999,2169.99,2125.0053,-20.73037202936418
10,-56.23939330062747,21.258702961542333,1.6795935994250146,8.841722182926796,3.447938036010374,3447.938036010374,3395.9503833020553,-15.077896460249033
20,-60.05198576415218,41.76401071445853,2.825853422597859,8.04729031279156,4.435311485156171,4435.31148515617,4383.61230153491,-11.656268966516501
30,-56.621422471600965,62.33668051763502,3.631273617850607,6.908724597698297,5.013018537390266,5013.018537390266,4968.864451022192,-8.807884119866054
40,-46.3614799857775,80.49534477253891,3.998708622899669,5.563352866327592,5.1113791961651875,5111.379196165187,5081.116785133917,-5.920595962431103
50,-30.509658791096427,94.04980057668652,3.883840353372995,4.173446805054832,4.718529714383962,4718.529714383961,4706.830015708202,-2.479522093522735
60,-10.97792247160098,101.36518051763503,3.3005236178506077,2.906649597698298,3.8818535373902674,3881.853537390267,3891.148651022193,2.3945039508562083
70,9.877913314849955,101.55914181099658,2.3191150234746547,1.9157556834007932,2.7022661601548132,2702.266160154814,2732.4559018318632,11.172008931688577
80,29.542326973055744,94.60828986222798,1.0579869307751368,1.3202814922632709,1.322043229227791,1322.0432292277908,1370.5072141732924,36.65839654412021
90,45.643499999999996,81.351,-0.3307499999999995,1.19205,0.5691599999999994,569.1599999999995,539.7866999999994,-51.608159392789574
100,56.23939330062747,63.386297038457656,-1.6795935994250144,1.5465278170732004,1.9888991628396546,1988.8991628396543,1945.3370289467184,-21.902635742849814
110,60.05198576415218,42.88098928554148,-2.8258534225978584,2.340959687208439,3.2940453600395463,3294.045360039546,3242.5695721325023,-15.626921393221338
120,56.62142247160097,22.308319482365,-3.6312736178506055,3.4795254023017006,4.327178698310946,4327.178698310945,4275.018939735817,-12.05398764684428
130,46.36147998577749,4.149655227461061,-3.9987086228996693,4.824897133672407,4.9636880496341504,4963.688049634151,4918.156500693865,-9.172927163229263
140,30.509658791096452,-9.404800576686505,-3.8838403533729955,6.214803194945166,5.126800992362028,5126.800992362028,5094.410373455594,-6.317900568929934
150,10.977922471600944,-16.720180517635026,-3.3005236178506068,7.481600402301703,4.796843698310948,4796.843698310948,4782.521739735819,-2.9857046582884346
160,-9.877913314849952,-16.914141810996597,-2.3191150234746556,8.472494316599205,4.013613886794497,4013.6138867944965,4020.108971747147,1.618263524057544
170,-29.542326973055754,-9.963289862227983,-1.0579869307751357,9.067968507736726,2.8715806323224813,2871.5806323224815,2899.1303013230918,9.593904029896107
