network,station,lat,lon,dist,tP,tS
AK,ATKA,52.2016,-174.1975,61.547746958823,617.2238218199534,1119.7664100360112
AK,BAGL,60.4896,-142.0915,74.15299695719885,696.6774347743049,1270.6226858696848
AK,BARK,60.403,-142.4934,74.042492987512,696.0314091137476,1269.380790003162
AK,BARN,61.0595,-141.6622,73.98825866530743,695.7140145874623,1268.7707417621466
AK,BERG,60.3932,-143.7004,73.56009072507268,693.2008586029316,1263.94235626431
AK,BESE,58.5792,-134.8559,78.2050399158447,719.7345598203882,1315.1399257939977
AK,BGLC,60.1205,-143.2841,73.88528474723384,695.1107890847323,1267.6114877554808
AK,BMR,60.9677,-144.6051,72.87094184494303,689.127579509552,1256.125959411726
AK,BPAW,64.0997,-150.9873,68.74388868720192,664.003104254622,1208.1430431830368
AK,CAST,63.4188,-152.0844,68.62539787111824,663.2633112428294,1206.7361086807675
AK,CHUM,63.8827,-152.3152,68.32471914497249,661.3816357906221,1203.158374424838
AK,COLD,67.2269,-150.2038,67.59010770618552,656.7563264270623,1194.3729282933439
AK,DCPH,59.0906,-138.2154,76.55133660515239,710.4728022658704,1297.211848296246
AK,DIV,61.1292,-145.7749,72.30882760472068,685.7792562743482,1249.7088567429382
AK,DOT,63.6487,-144.0674,71.59577156697681,681.4981964205737,1241.5142144922336
AK,EYAK,60.5487,-145.75,72.63388939529696,687.7182637074147,1253.4244200297067
AK,FALS,54.8564,-163.4176,66.81126067619181,651.8096846358907,1184.9912336318378
AK,FIB,61.1656,-150.1775,70.46952757908372,674.6605442540762,1228.448387797676
AK,GAMB,63.7758,-171.7036,60.28274342116009,608.6117052092688,1103.6230724927022
AK,GCSA,64.7461,-156.8792,66.16729192678916,647.6862504693411,1177.1808222248212
AK,GOAT,60.5805,-144.7292,73.03555236493935,690.1037649277857,1257.9979221860883
AK,GRIN,60.2805,-143.321,73.77860559791992,694.4850486027784,1266.4092184980395
AK,GRNC,60.7315,-141.7558,74.14442102124232,696.6273309152249,1270.5263582348193
AK,ISLE,60.6024,-142.3406,73.98769588411741,695.7107198978033,1268.7644095406642
AK,KHIT,60.4427,-143.251,73.71414083939794,694.1065497154536,1265.6820573840955
AK,KIAG,60.9231,-142.3605,73.79327208553232,694.57112882884,1266.574583508632
AK,KTH,63.5527,-150.9233,69.02372324635908,665.7461758781669,1211.4592993769802
AK,KULT,60.2474,-142.7234,74.04002030523226,696.016943004429,1269.352984005619
AK,LOGN,60.824,-141.0048,74.38500653871297,698.0308230997613,1273.2252955197719
AK,MCAR,61.3836,-143.024,73.26625335432631,691.4684375077798,1260.6162212124796
AK,MCK,63.7318,-148.9373,69.7114221979961,670.0051594426195,1219.5709177849646
AK,MESA,60.1785,-141.9505,74.39202802847471,698.0717182381455,1273.3039577956347
AK,NICH,60.2357,-143.9713,73.5387315960907,693.0751427678564,1263.700921342206
AK,NIKH,52.9721,-168.855,64.43801957167739,636.4642157113399,1155.9723781696714
AK,NIKO,52.9378,-168.8687,64.44095418466354,636.4834425692248,1156.0086575163757
AK,PAX,62.9699,-145.4699,71.43666113691933,680.5377527831737,1239.6774404957237
AK,PIN,60.0959,-140.2525,75.11933731933921,702.2873645650634,1281.4198106393471
AK,PNL,59.667,-139.4014,75.71958403173292,705.7371392777487,1288.069156073366
AK,PPLA,62.8962,-152.1894,68.82072022271764,664.4822573385795,1209.0544164718335
AK,PTPK,61.1871,-142.4672,73.59810896540577,693.4245419638848,1264.3719644180057
AK,RAG,60.3863,-144.6773,73.16476906299114,690.8686198502861,1259.4651424049703
AK,RC01,61.0889,-149.739,70.69161631706086,676.0163813875904,1231.036673790873
AK,RIDG,63.7399,-144.8462,71.25687504528827,679.4503482320398,1237.5983215758065
AK,RKAV,60.2994,-141.3478,74.56186966354319,699.0597775290436,1275.2048955348546
AK,SAMH,60.1294,-140.7828,74.88849588550356,700.9536924034626,1278.8509116596317
AK,SAW,61.807,-148.3316,70.91373406546168,677.3686417696821,1233.6195359353997
AK,SCRK,63.9761,-143.9905,71.44371685637978,680.5803821744936,1239.7589566354425
AK,SII,56.5593,-154.1842,70.83941933270769,676.916634562882,1232.7560295881892
AK,SKN,61.98,-151.5317,69.51376135648938,668.7846162421,1217.2451626290094
AK,SPIA,57.1766,-170.2478,62.459792911198534,623.3608241036673,1131.2939874803537
AK,SUCK,60.072,-143.779,73.71033323526994,694.0841849079687,1265.6390920293218
AK,SWD,60.1043,-149.4526,71.30423364019934,679.7369959557849,1238.1463703168556
AK,TABL,60.4399,-141.1443,74.55910061691856,699.0436862206326,1275.1739304197245
AK,TNA,65.5598,-167.9267,61.50392303753249,616.9274732819572,1119.2101216545452
AK,TRF,63.4502,-150.2893,69.32148369525024,667.594519543259,1214.978314231121
AK,UNV,53.8452,-166.5045,65.47991360995388,643.2518719169774,1168.7919953707265
AK,VRDI,61.2275,-143.4545,73.18529847758228,690.9900211314467,1259.698088240304
CN,BBB,52.1847,-128.1133,85.42225169704452,757.7068462706867,1389.3685033701618
CN,BMBC,56.0449,-122.1336,84.73046811077248,754.2431671819209,1382.5437750522312
CN,BMSB,48.8356,-125.1355,89.18977793649297,775.8952669324151,1425.4103966008493
CN,CBB,50.0315,-125.3652,88.17838305413572,771.126172549352,1415.9241616127701
CN,DAWY,64.0647,-139.3937,73.03598744590836,690.10634237799,1258.00286556041
CN,DLBC,58.4368,-130.0304,80.12348764840075,730.2196160293869,1335.5153056394527
CN,EDB,49.873,-127.1216,87.55967075168917,768.1670774592275,1410.052495776501
CN,EDM,53.223,-113.3497,89.92347528591087,779.3069250962415,1432.2024764340722
CN,EUNU,80.0532,-86.4158,68.81366970779884,664.438305391602,1208.970812978459
CN,FCC,58.7592,-94.0884,89.06341901112583,775.3039761484961,1424.2328975168564
CN,FNBB,58.8903,-123.0099,82.20656741367476,741.2864098610603,1357.1164461533383
CN,FRB,63.7469,-68.5451,85.03800403221187,755.7877425305703,1385.5855562267327
CN,HNB,49.2745,-122.5792,89.90333104495666,779.2134505553651,1432.0169950221257
