network,station,lat,lon,dist,tP,tS
GE,GSI,1.3039,97.5755,30.203829897314993,370.53671437524525,670.8374760466305
IU,DAV,7.0697,125.5791,31.66864475040515,383.4453606147651,693.720269843316
II,BRVK,53.0581,70.2828,32.5291547115039,390.98628912093085,707.1072296099147
GE,PMBI,-2.927,104.772003,33.952185660559884,403.37703256795714,729.1475773971098
GE,MNAI,-4.3605,102.955704,35.36304398929605,415.55588542263433,750.86269960779
GE,LUWI,-1.0418,122.771698,36.95173826588444,429.132326729443,775.1360150319969
II,ABKT,37.9304,58.1189,37.59735331704244,434.6054723213423,784.9427365701371
GE,SMRI,-7.04915,110.440666,38.641568693435744,443.40206738060385,800.7286075252066
II,ARU,56.4302,58.5625,40.072109132514335,455.33913520714276,822.2042673232546
IU,GUMO,13.5893,144.8684,41.812884957068185,469.6813528037348,848.086046163389
GE,KAAM,0.49264,72.994858,41.95410295160398,470.83568386320877,850.1734619437993
II,COCO,-12.1901,96.8349,43.64808596969224,484.5772133358526,875.0623244776673
IU,PET,53.0233,158.6499,45.14362098010938,496.54253882084754,896.8027659028729
GE,SOEI,-9.7553,124.267197,45.40469355980713,498.61509819899993,900.5744711677366
IU,GNI,40.148,44.741,47.71111253011482,516.7135234847767,933.5987589124093
II,DGAR,-7.4121,72.4525,48.50500482022511,522.8558315616447,944.8392797149661
II,KIV,43.9553,42.6863,48.75078739115443,524.748202457059,948.3056150029415
II,RAYN,23.5225,45.5032,51.44681687352427,545.2180483516349,985.9102140530003
II,OBN,55.1146,36.5674,52.02217960970093,549.518819214016,993.8355632713441
II,LVZ,67.8979,34.6514,53.55221830232194,560.8385380864079,1014.7353524779259
IU,MBWA,-21.159,119.7313,54.46368549376224,567.5004037612131,1027.065427806214
GE,KSDI,33.192001,35.659,56.380883598193044,581.3170481953864,1052.7021244212826
GE,VSU,58.462002,26.734699,57.15478573195971,586.8181159114182,1062.9363334890763
IU,PMG,-9.4047,147.1597,58.22368976493199,594.3457531939241,1076.9615533266287
GE,SLIT,57.6287,22.290501,59.60719986955593,603.9654139352123,1094.9280285266354
AK,GAMB,63.7758,-171.7036,60.28274342116009,608.6117052092688,1103.6230724927022
AK,ATKA,52.2016,-174.1975,61.547746958823,617.2238218199534,1119.7664100360112
GE,ZKR,35.1147,26.216999,63.14060818995998,627.9021220806501,1139.8365692134405
GE,MORC,49.7766,17.542801,64.3268465497481,635.73540812005,1154.597350912621
IU,CTAO,-20.0882,146.2545,65.59086710111305,643.9699753623995,1170.1497829603577
AK,FALS,54.8564,-163.4176,66.81126067619181,651.8096846358907,1184.9912336318378
GE,MATE,40.649071,16.70442,68.09956461876988,659.9682607268567,1200.4723454851598
GE,IBBN,52.306301,7.7592,69.14343821627575,666.4900932680234,1212.8753606301282
II,BFO,48.3301,8.3296,70.466288490583,674.6407423672792,1228.4105968151575
AK,DOT,63.6487,-144.0674,71.59577156697681,681.4981964205737,1241.5142144922336
AK,BMR,60.9677,-144.6051,72.87094184494303,689.127579509552,1256.125959411726
AK,BARK,60.403,-142.4934,74.042492987512,696.0314091137476,1269.380790003162
AK,PIN,60.0959,-140.2525,75.11933731933921,702.2873645650634,1281.4198106393471
AK,DCPH,59.0906,-138.2154,76.55133660515239,710.4728022658704,1297.211848296246
AK,BESE,58.5792,-134.8559,78.2050399158447,719.7345598203882,1315.1399257939977
IU,JOHN,16.7329,-169.5292,79.03361709397298,724.2972250510251,1323.9961502081476
CN,DLBC,58.4368,-130.0304,80.12348764840075,730.2196160293869,1335.5153056394527
CN,YKW3,62.5616,-114.6099,81.61090359495425,738.1561880762268,1350.9957083143643
IU,PAB,39.5446,-4.3499,82.73818114612709,744.0568239659581,1362.5411059609837
II,TAU,-42.9099,147.3204,84.17142091121698,751.4162106855251,1376.9829464898603
CN,FRB,63.7469,-68.5451,85.03800403221187,755.7877425305703,1385.5855562267327
IU,KIP,21.42,-158.0112,86.04783441636256,760.8061326820447,1395.4852982862747
CN,EDB,49.873,-127.1216,87.55967075168917,768.1670774592275,1410.052495776501
IU,POHA,19.7573,-155.5326,88.89738434054253,774.5250726912119,1422.6822370021946
CN,EDM,53.223,-113.3497,89.92347528591087,779.3069250962415,1432.2024764340722
