station,network,lat,lon,dist,tP,tS,snr
ATKA,AK,52.2016,-174.1975,61.547746958823,617.2238218199534,1119.7664100360112,12.715097377540072
BMR,AK,60.9677,-144.6051,72.87094184494303,689.127579509552,1256.125959411726,176.5319757508011
BPAW,AK,64.0997,-150.9873,68.74388868720192,664.003104254622,1208.1430431830368,314.41697433557835
CAST,AK,63.4188,-152.0844,68.62539787111824,663.2633112428294,1206.7361086807675,381.11372416722907
CHUM,AK,63.8827,-152.3152,68.32471914497249,661.3816357906221,1203.158374424838,43.7787813680309
COLD,AK,67.2269,-150.2038,67.59010770618552,656.7563264270623,1194.3729282933439,152.3577218062214
DIV,AK,61.1292,-145.7749,72.30882760472068,685.7792562743482,1249.7088567429382,145.28302950564006
DOT,AK,63.6487,-144.0674,71.59577156697681,681.4981964205737,1241.5142144922336,76.13601729877651
EYAK,AK,60.5487,-145.75,72.63388939529696,687.7182637074147,1253.4244200297067,113.65260501407526
FALS,AK,54.8564,-163.4176,66.81126067619181,651.8096846358907,1184.9912336318378,1.658539926996389
FIB,AK,61.1656,-150.1775,70.46952757908372,674.6605442540762,1228.448387797676,3.7745733672291415
GAMB,AK,63.7758,-171.7036,60.28274342116009,608.6117052092688,1103.6230724927022,62.042284785912166
KTH,AK,63.5527,-150.9233,69.02372324635908,665.7461758781669,1211.4592993769802,282.83915715410996
MCK,AK,63.7318,-148.9373,69.7114221979961,670.0051594426195,1219.5709177849646,73.22763726535007
NIKH,AK,52.9721,-168.855,64.43801957167739,636.4642157113399,1155.9723781696714,17.95895095052805
NIKO,AK,52.9378,-168.8687,64.44095418466354,636.4834425692248,1156.0086575163757,28.117070498417636
PAX,AK,62.9699,-145.4699,71.43666113691933,680.5377527831737,1239.6774404957237,8.690495751967074
PNL,AK,59.667,-139.4014,75.71958403173292,705.7371392777487,1288.069156073366,31.178730021264016
PPLA,AK,62.8962,-152.1894,68.82072022271764,664.4822573385795,1209.0544164718335,178.27459670330182
SAW,AK,61.807,-148.3316,70.91373406546168,677.3686417696821,1233.6195359353997,20.682588283763614
SPIA,AK,57.1766,-170.2478,62.459792911198534,623.3608241036673,1131.2939874803537,35.469606744321666
TNA,AK,65.5598,-167.9267,61.50392303753249,616.9274732819572,1119.2101216545452,94.35647665887552
TRF,AK,63.4502,-150.2893,69.32148369525024,667.594519543259,1214.978314231121,195.3858666223173
UNV,AK,53.8452,-166.5045,65.47991360995388,643.2518719169774,1168.7919953707265,42.80921043177315
BBB,CN,52.1847,-128.1133,85.42225169704452,757.7068462706867,1389.3685033701618,96.01552866863423
FRB,CN,63.7469,-68.5451,85.03800403221187,755.7877425305703,1385.5855562267327,189.21827764734556
INK,CN,68.3065,-133.5254,72.2028137608686,685.1452122816784,1248.4943332939977,140.32529795917475
LLLB,CN,50.609,-121.8815,89.12386771384361,775.5870051265015,1424.7964973829132,204.52686377236708
RES,CN,74.6892,-94.8962,73.6286779281731,693.6043178394532,1264.717270002728,156.3788280587914
WHY,CN,60.6597,-134.8825,76.81123899442434,711.9419811901051,1300.0517173494388,86.27289065941552
