# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_03_UMA
# sample_count: 864
# sample_rate_hz: 0.01
# start_time: 2021-12-24T00:00:08.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-Position
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:08.810000Z, 40684
2021-12-24T00:01:48.810000Z, 40682
2021-12-24T00:03:28.810000Z, 40683
2021-12-24T00:05:08.810000Z, 40680
2021-12-24T00:06:48.810000Z, 40675
2021-12-24T00:08:28.810000Z, 40673
2021-12-24T00:10:08.810000Z, 40672
2021-12-24T00:11:48.810000Z, 40672
2021-12-24T00:13:28.810000Z, 40672
2021-12-24T00:15:08.810000Z, 40672
2021-12-24T00:16:48.810000Z, 40672
2021-12-24T00:18:28.810000Z, 40672
2021-12-24T00:20:08.810000Z, 40669
2021-12-24T00:21:48.810000Z, 40667
2021-12-24T00:23:28.810000Z, 40665
2021-12-24T00:25:08.810000Z, 40660
2021-12-24T00:26:48.810000Z, 40658
2021-12-24T00:28:28.810000Z, 40656
2021-12-24T00:30:08.810000Z, 40656
2021-12-24T00:31:48.810000Z, 40656
2021-12-24T00:33:28.810000Z, 40656
2021-12-24T00:35:08.810000Z, 40654
2021-12-24T00:36:48.810000Z, 40651
2021-12-24T00:38:28.810000Z, 40646
2021-12-24T00:40:08.810000Z, 40641
2021-12-24T00:41:48.810000Z, 40640
2021-12-24T00:43:28.810000Z, 40640
2021-12-24T00:45:08.810000Z, 40640
2021-12-24T00:46:48.810000Z, 40639
2021-12-24T00:48:28.810000Z, 40636
2021-12-24T00:50:08.810000Z, 40629
2021-12-24T00:51:48.810000Z, 40625
2021-12-24T00:53:28.810000Z, 40624
2021-12-24T00:55:08.810000Z, 40624
2021-12-24T00:56:48.810000Z, 40624
2021-12-24T00:58:28.810000Z, 40621
2021-12-24T01:00:08.810000Z, 40615
2021-12-24T01:01:48.810000Z, 40609
2021-12-24T01:03:28.810000Z, 40608
2021-12-24T01:05:08.810000Z, 40608
2021-12-24T01:06:48.810000Z, 40606
2021-12-24T01:08:28.810000Z, 40603
2021-12-24T01:10:08.810000Z, 40598
2021-12-24T01:11:48.810000Z, 40592
2021-12-24T01:13:28.810000Z, 40592
2021-12-24T01:15:08.810000Z, 40592
2021-12-24T01:16:48.810000Z, 40589
2021-12-24T01:18:28.810000Z, 40584
2021-12-24T01:20:08.810000Z, 40577
2021-12-24T01:21:48.810000Z, 40576
2021-12-24T01:23:28.810000Z, 40576
2021-12-24T01:25:08.810000Z, 40575
2021-12-24T01:26:48.810000Z, 40569
2021-12-24T01:28:28.810000Z, 40561
2021-12-24T01:30:08.810000Z, 40560
2021-12-24T01:31:48.810000Z, 40559
2021-12-24T01:33:28.810000Z, 40556
