# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_22_UK2
# sample_count: 864
# sample_rate_hz: 0.01
# start_time: 2021-12-24T00:00:08.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:08.810000Z, 38530
2021-12-24T00:01:48.810000Z, 38531
2021-12-24T00:03:28.810000Z, 38545
2021-12-24T00:05:08.810000Z, 38546
2021-12-24T00:06:48.810000Z, 38546
2021-12-24T00:08:28.810000Z, 38546
2021-12-24T00:10:08.810000Z, 38546
2021-12-24T00:11:48.810000Z, 38554
2021-12-24T00:13:28.810000Z, 38561
2021-12-24T00:15:08.810000Z, 38561
2021-12-24T00:16:48.810000Z, 38562
2021-12-24T00:18:28.810000Z, 38562
2021-12-24T00:20:08.810000Z, 38562
2021-12-24T00:21:48.810000Z, 38562
2021-12-24T00:23:28.810000Z, 38562
2021-12-24T00:25:08.810000Z, 38562
2021-12-24T00:26:48.810000Z, 38562
2021-12-24T00:28:28.810000Z, 38562
2021-12-24T00:30:08.810000Z, 38562
2021-12-24T00:31:48.810000Z, 38562
2021-12-24T00:33:28.810000Z, 38562
2021-12-24T00:35:08.810000Z, 38562
2021-12-24T00:36:48.810000Z, 38562
2021-12-24T00:38:28.810000Z, 38562
2021-12-24T00:40:08.810000Z, 38562
2021-12-24T00:41:48.810000Z, 38562
2021-12-24T00:43:28.810000Z, 38562
2021-12-24T00:45:08.810000Z, 38561
2021-12-24T00:46:48.810000Z, 38561
2021-12-24T00:48:28.810000Z, 38555
2021-12-24T00:50:08.810000Z, 38548
2021-12-24T00:51:48.810000Z, 38546
2021-12-24T00:53:28.810000Z, 38546
2021-12-24T00:55:08.810000Z, 38546
2021-12-24T00:56:48.810000Z, 38546
2021-12-24T00:58:28.810000Z, 38545
2021-12-24T01:00:08.810000Z, 38535
2021-12-24T01:01:48.810000Z, 38530
2021-12-24T01:03:28.810000Z, 38530
2021-12-24T01:05:08.810000Z, 38529
2021-12-24T01:06:48.810000Z, 38529
2021-12-24T01:08:28.810000Z, 38514
2021-12-24T01:10:08.810000Z, 38514
2021-12-24T01:11:48.810000Z, 38514
2021-12-24T01:13:28.810000Z, 38513
2021-12-24T01:15:08.810000Z, 38502
2021-12-24T01:16:48.810000Z, 38498
2021-12-24T01:18:28.810000Z, 38498
2021-12-24T01:20:08.810000Z, 38494
2021-12-24T01:21:48.810000Z, 38483
2021-12-24T01:23:28.810000Z, 38482
2021-12-24T01:25:08.810000Z, 38481
2021-12-24T01:26:48.810000Z, 38468
2021-12-24T01:28:28.810000Z, 38466
2021-12-24T01:30:08.810000Z, 38466
2021-12-24T01:31:48.810000Z, 38454
2021-12-24T01:33:28.810000Z, 38450
2021-12-24T01:35:08.810000Z, 38449
2021-12-24T01:36:48.810000Z, 38443
2021-12-24T01:38:28.810000Z, 38434
2021-12-24T01:40:08.810000Z, 38434
2021-12-24T01:41:48.810000Z, 38420
2021-12-24T01:43:28.810000Z, 38418
2021-12-24T01:45:08.810000Z, 38417
2021-12-24T01:46:48.810000Z, 38402
2021-12-24T01:48:28.810000Z, 38402
2021-12-24T01:50:08.810000Z, 38396
2021-12-24T01:51:48.810000Z, 38386
2021-12-24T01:53:28.810000Z, 38385
2021-12-24T01:55:08.810000Z, 38370
2021-12-24T01:56:48.810000Z, 38370
2021-12-24T01:58:28.810000Z, 38357
2021-12-24T02:00:08.810000Z, 38354
2021-12-24T02:01:48.810000Z, 38354
2021-12-24T02:03:28.810000Z, 38340
2021-12-24T02:05:08.810000Z, 38338
2021-12-24T02:06:48.810000Z, 38329
2021-12-24T02:08:28.810000Z, 38322
2021-12-24T02:10:08.810000Z, 38315
2021-12-24T02:11:48.810000Z, 38306
2021-12-24T02:13:28.810000Z, 38303
2021-12-24T02:15:08.810000Z, 38290
2021-12-24T02:16:48.810000Z, 38287
2021-12-24T02:18:28.810000Z, 38274
2021-12-24T02:20:08.810000Z, 38271
2021-12-24T02:21:48.810000Z, 38258
2021-12-24T02:23:28.810000Z, 38250
2021-12-24T02:25:08.810000Z, 38242
2021-12-24T02:26:48.810000Z, 38227
2021-12-24T02:28:28.810000Z, 38226
2021-12-24T02:30:08.810000Z, 38211
2021-12-24T02:31:48.810000Z, 38210
2021-12-24T02:33:28.810000Z, 38194
2021-12-24T02:35:08.810000Z, 38193
2021-12-24T02:36:48.810000Z, 38178
2021-12-24T02:38:28.810000Z, 38174
2021-12-24T02:40:08.810000Z, 38162
2021-12-24T02:41:48.810000Z, 38149
2021-12-24T02:43:28.810000Z, 38146
2021-12-24T02:45:08.810000Z, 38130
2021-12-24T02:46:48.810000Z, 38129
2021-12-24T02:48:28.810000Z, 38114
2021-12-24T02:50:08.810000Z, 38103
2021-12-24T02:51:48.810000Z, 38098
2021-12-24T02:53:28.810000Z, 38082
2021-12-24T02:55:08.810000Z, 38081
2021-12-24T02:56:48.810000Z, 38066
2021-12-24T02:58:28.810000Z, 38053
2021-12-24T03:00:08.810000Z, 38050
2021-12-24T03:01:48.810000Z, 38034
2021-12-24T03:03:28.810000Z, 38029
2021-12-24T03:05:08.810000Z, 38018
2021-12-24T03:06:48.810000Z, 38002
2021-12-24T03:08:28.810000Z, 38000
2021-12-24T03:10:08.810000Z, 37986
2021-12-24T03:11:48.810000Z, 37970
2021-12-24T03:13:28.810000Z, 37969
2021-12-24T03:15:08.810000Z, 37954
2021-12-24T03:16:48.810000Z, 37939
2021-12-24T03:18:28.810000Z, 37937
2021-12-24T03:20:08.810000Z, 37922
2021-12-24T03:21:48.810000Z, 37907
2021-12-24T03:23:28.810000Z, 37905
2021-12-24T03:25:08.810000Z, 37890
2021-12-24T03:26:48.810000Z, 37875
2021-12-24T03:28:28.810000Z, 37874
2021-12-24T03:30:08.810000Z, 37858
2021-12-24T03:31:48.810000Z, 37842
2021-12-24T03:33:28.810000Z, 37842
2021-12-24T03:35:08.810000Z, 37826
2021-12-24T03:36:48.810000Z, 37810
2021-12-24T03:38:28.810000Z, 37809
2021-12-24T03:40:08.810000Z, 37794
2021-12-24T03:41:48.810000Z, 37778
2021-12-24T03:43:28.810000Z, 37777
2021-12-24T03:45:08.810000Z, 37762
2021-12-24T03:46:48.810000Z, 37746
2021-12-24T03:48:28.810000Z, 37743
2021-12-24T03:50:08.810000Z, 37730
2021-12-24T03:51:48.810000Z, 37714
2021-12-24T03:53:28.810000Z, 37703
2021-12-24T03:55:08.810000Z, 37698
2021-12-24T03:56:48.810000Z, 37682
2021-12-24T03:58:28.810000Z, 37666
2021-12-24T04:00:08.810000Z, 37665
2021-12-24T04:01:48.810000Z, 37650
2021-12-24T04:03:28.810000Z, 37634
2021-12-24T04:05:08.810000Z, 37625
2021-12-24T04:06:48.810000Z, 37617
2021-12-24T04:08:28.810000Z, 37602
2021-12-24T04:10:08.810000Z, 37586
2021-12-24T04:11:48.810000Z, 37584
2021-12-24T04:13:28.810000Z, 37570
2021-12-24T04:15:08.810000Z, 37554
2021-12-24T04:16:48.810000Z, 37541
2021-12-24T04:18:28.810000Z, 37538
2021-12-24T04:20:08.810000Z, 37522
2021-12-24T04:21:48.810000Z, 37506
2021-12-24T04:23:28.810000Z, 37495
2021-12-24T04:25:08.810000Z, 37489
2021-12-24T04:26:48.810000Z, 37474
2021-12-24T04:28:28.810000Z, 37458
2021-12-24T04:30:08.810000Z, 37450
2021-12-24T04:31:48.810000Z, 37441
2021-12-24T04:33:28.810000Z, 37426
2021-12-24T04:35:08.810000Z, 37410
2021-12-24T04:36:48.810000Z, 37404
2021-12-24T04:38:28.810000Z, 37393
2021-12-24T04:40:08.810000Z, 37378
2021-12-24T04:41:48.810000Z, 37362
2021-12-24T04:43:28.810000Z, 37359
2021-12-24T04:45:08.810000Z, 37346
2021-12-24T04:46:48.810000Z, 37330
2021-12-24T04:48:28.810000Z, 37323
2021-12-24T04:50:08.810000Z, 37313
2021-12-24T04:51:48.810000Z, 37298
2021-12-24T04:53:28.810000Z, 37282
2021-12-24T04:55:08.810000Z, 37274
2021-12-24T04:56:48.810000Z, 37266
2021-12-24T04:58:28.810000Z, 37250
2021-12-24T05:00:08.810000Z, 37234
2021-12-24T05:01:48.810000Z, 37223
2021-12-24T05:03:28.810000Z, 37218
2021-12-24T05:05:08.810000Z, 37202
2021-12-24T05:06:48.810000Z, 37186
2021-12-24T05:08:28.810000Z, 37172
2021-12-24T05:10:08.810000Z, 37169
2021-12-24T05:11:48.810000Z, 37154
2021-12-24T05:13:28.810000Z, 37138
2021-12-24T05:15:08.810000Z, 37123
2021-12-24T05:16:48.810000Z, 37121
2021-12-24T05:18:28.810000Z, 37106
2021-12-24T05:20:08.810000Z, 37090
2021-12-24T05:21:48.810000Z, 37074
2021-12-24T05:23:28.810000Z, 37073
2021-12-24T05:25:08.810000Z, 37058
2021-12-24T05:26:48.810000Z, 37042
2021-12-24T05:28:28.810000Z, 37026
2021-12-24T05:30:08.810000Z, 37018
2021-12-24T05:31:48.810000Z, 37010
2021-12-24T05:33:28.810000Z, 36994
2021-12-24T05:35:08.810000Z, 36978
2021-12-24T05:36:48.810000Z, 36966
2021-12-24T05:38:28.810000Z, 36960
2021-12-24T05:40:08.810000Z, 36946
2021-12-24T05:41:48.810000Z, 36930
2021-12-24T05:43:28.810000Z, 36914
2021-12-24T05:45:08.810000Z, 36913
2021-12-24T05:46:48.810000Z, 36898
2021-12-24T05:48:28.810000Z, 36882
2021-12-24T05:50:08.810000Z, 36866
2021-12-24T05:51:48.810000Z, 36860
2021-12-24T05:53:28.810000Z, 36849
2021-12-24T05:55:08.810000Z, 36834
2021-12-24T05:56:48.810000Z, 36818
2021-12-24T05:58:28.810000Z, 36810
2021-12-24T06:00:08.810000Z, 36801
2021-12-24T06:01:48.810000Z, 36786
2021-12-24T06:03:28.810000Z, 36770
2021-12-24T06:05:08.810000Z, 36754
2021-12-24T06:06:48.810000Z, 36752
2021-12-24T06:08:28.810000Z, 36738
2021-12-24T06:10:08.810000Z, 36722
