# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_29_UEA
# sample_count: 864
# sample_rate_hz: 0.01
# start_time: 2021-12-24T00:00:08.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-Current
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:08.810000Z, 14268
2021-12-24T00:01:48.810000Z, 14265
2021-12-24T00:03:28.810000Z, 14268
2021-12-24T00:05:08.810000Z, 14265
2021-12-24T00:06:48.810000Z, 14267
2021-12-24T00:08:28.810000Z, 14265
2021-12-24T00:10:08.810000Z, 14266
2021-12-24T00:11:48.810000Z, 14266
2021-12-24T00:13:28.810000Z, 14265
2021-12-24T00:15:08.810000Z, 14266
2021-12-24T00:16:48.810000Z, 14264
2021-12-24T00:18:28.810000Z, 14265
2021-12-24T00:20:08.810000Z, 14266
2021-12-24T00:21:48.810000Z, 14265
2021-12-24T00:23:28.810000Z, 14265
2021-12-24T00:25:08.810000Z, 14265
2021-12-24T00:26:48.810000Z, 14264
2021-12-24T00:28:28.810000Z, 14263
2021-12-24T00:30:08.810000Z, 14262
2021-12-24T00:31:48.810000Z, 14262
2021-12-24T00:33:28.810000Z, 14262
2021-12-24T00:35:08.810000Z, 14262
2021-12-24T00:36:48.810000Z, 14261
2021-12-24T00:38:28.810000Z, 14261
2021-12-24T00:40:08.810000Z, 14258
2021-12-24T00:41:48.810000Z, 14257
2021-12-24T00:43:28.810000Z, 14258
2021-12-24T00:45:08.810000Z, 14258
2021-12-24T00:46:48.810000Z, 14257
2021-12-24T00:48:28.810000Z, 14255
2021-12-24T00:50:08.810000Z, 14255
2021-12-24T00:51:48.810000Z, 14258
2021-12-24T00:53:28.810000Z, 14258
2021-12-24T00:55:08.810000Z, 14255
2021-12-24T00:56:48.810000Z, 14255
2021-12-24T00:58:28.810000Z, 14255
2021-12-24T01:00:08.810000Z, 14251
2021-12-24T01:01:48.810000Z, 14254
2021-12-24T01:03:28.810000Z, 14253
2021-12-24T01:05:08.810000Z, 14253
2021-12-24T01:06:48.810000Z, 14252
2021-12-24T01:08:28.810000Z, 14249
2021-12-24T01:10:08.810000Z, 14249
2021-12-24T01:11:48.810000Z, 14246
2021-12-24T01:13:28.810000Z, 14247
2021-12-24T01:15:08.810000Z, 14244
2021-12-24T01:16:48.810000Z, 14241
2021-12-24T01:18:28.810000Z, 14245
2021-12-24T01:20:08.810000Z, 14242
2021-12-24T01:21:48.810000Z, 14241
2021-12-24T01:23:28.810000Z, 14239
2021-12-24T01:25:08.810000Z, 14239
2021-12-24T01:26:48.810000Z, 14240
2021-12-24T01:28:28.810000Z, 14240
2021-12-24T01:30:08.810000Z, 14237
2021-12-24T01:31:48.810000Z, 14239
2021-12-24T01:33:28.810000Z, 14236
2021-12-24T01:35:08.810000Z, 14235
2021-12-24T01:36:48.810000Z, 14232
2021-12-24T01:38:28.810000Z, 14230
2021-12-24T01:40:08.810000Z, 14233
2021-12-24T01:41:48.810000Z, 14232
2021-12-24T01:43:28.810000Z, 14232
2021-12-24T01:45:08.810000Z, 14229
2021-12-24T01:46:48.810000Z, 14227
2021-12-24T01:48:28.810000Z, 14226
2021-12-24T01:50:08.810000Z, 14222
2021-12-24T01:51:48.810000Z, 14224
2021-12-24T01:53:28.810000Z, 14223
2021-12-24T01:55:08.810000Z, 14223
2021-12-24T01:56:48.810000Z, 14223
2021-12-24T01:58:28.810000Z, 14221
2021-12-24T02:00:08.810000Z, 14221
2021-12-24T02:01:48.810000Z, 14220
2021-12-24T02:03:28.810000Z, 14220
2021-12-24T02:05:08.810000Z, 14219
2021-12-24T02:06:48.810000Z, 14215
2021-12-24T02:08:28.810000Z, 14215
2021-12-24T02:10:08.810000Z, 14214
2021-12-24T02:11:48.810000Z, 14215
2021-12-24T02:13:28.810000Z, 14212
2021-12-24T02:15:08.810000Z, 14206
2021-12-24T02:16:48.810000Z, 14207
2021-12-24T02:18:28.810000Z, 14211
2021-12-24T02:20:08.810000Z, 14207
2021-12-24T02:21:48.810000Z, 14204
2021-12-24T02:23:28.810000Z, 14205
2021-12-24T02:25:08.810000Z, 14204
2021-12-24T02:26:48.810000Z, 14200
2021-12-24T02:28:28.810000Z, 14200
2021-12-24T02:30:08.810000Z, 14196
2021-12-24T02:31:48.810000Z, 14197
2021-12-24T02:33:28.810000Z, 14196
2021-12-24T02:35:08.810000Z, 14195
2021-12-24T02:36:48.810000Z, 14193
2021-12-24T02:38:28.810000Z, 14194
2021-12-24T02:40:08.810000Z, 14193
2021-12-24T02:41:48.810000Z, 14191
2021-12-24T02:43:28.810000Z, 14192
2021-12-24T02:45:08.810000Z, 14192
2021-12-24T02:46:48.810000Z, 14190
2021-12-24T02:48:28.810000Z, 14188
2021-12-24T02:50:08.810000Z, 14188
2021-12-24T02:51:48.810000Z, 14186
2021-12-24T02:53:28.810000Z, 14187
2021-12-24T02:55:08.810000Z, 14185
2021-12-24T02:56:48.810000Z, 14178
2021-12-24T02:58:28.810000Z, 14179
2021-12-24T03:00:08.810000Z, 14178
2021-12-24T03:01:48.810000Z, 14179
2021-12-24T03:03:28.810000Z, 14180
2021-12-24T03:05:08.810000Z, 14176
2021-12-24T03:06:48.810000Z, 14174
2021-12-24T03:08:28.810000Z, 14174
2021-12-24T03:10:08.810000Z, 14171
2021-12-24T03:11:48.810000Z, 14170
2021-12-24T03:13:28.810000Z, 14170
2021-12-24T03:15:08.810000Z, 14167
2021-12-24T03:16:48.810000Z, 14167
2021-12-24T03:18:28.810000Z, 14164
2021-12-24T03:20:08.810000Z, 14164
2021-12-24T03:21:48.810000Z, 14164
2021-12-24T03:23:28.810000Z, 14159
2021-12-24T03:25:08.810000Z, 14159
2021-12-24T03:26:48.810000Z, 14159
2021-12-24T03:28:28.810000Z, 14157
2021-12-24T03:30:08.810000Z, 14158
2021-12-24T03:31:48.810000Z, 14158
2021-12-24T03:33:28.810000Z, 14157
2021-12-24T03:35:08.810000Z, 14156
2021-12-24T03:36:48.810000Z, 14156
2021-12-24T03:38:28.810000Z, 14149
2021-12-24T03:40:08.810000Z, 14150
2021-12-24T03:41:48.810000Z, 14147
2021-12-24T03:43:28.810000Z, 14146
2021-12-24T03:45:08.810000Z, 14147
2021-12-24T03:46:48.810000Z, 14145
2021-12-24T03:48:28.810000Z, 14146
2021-12-24T03:50:08.810000Z, 14143
2021-12-24T03:51:48.810000Z, 14141
2021-12-24T03:53:28.810000Z, 14138
2021-12-24T03:55:08.810000Z, 14136
2021-12-24T03:56:48.810000Z, 14133
2021-12-24T03:58:28.810000Z, 14135
2021-12-24T04:00:08.810000Z, 14133
2021-12-24T04:01:48.810000Z, 14131
2021-12-24T04:03:28.810000Z, 14131
2021-12-24T04:05:08.810000Z, 14130
2021-12-24T04:06:48.810000Z, 14128
2021-12-24T04:08:28.810000Z, 14125
2021-12-24T04:10:08.810000Z, 14127
2021-12-24T04:11:48.810000Z, 14126
2021-12-24T04:13:28.810000Z, 14124
2021-12-24T04:15:08.810000Z, 14124
2021-12-24T04:16:48.810000Z, 14125
2021-12-24T04:18:28.810000Z, 14121
2021-12-24T04:20:08.810000Z, 14118
2021-12-24T04:21:48.810000Z, 14116
2021-12-24T04:23:28.810000Z, 14112
2021-12-24T04:25:08.810000Z, 14116
2021-12-24T04:26:48.810000Z, 14112
2021-12-24T04:28:28.810000Z, 14111
2021-12-24T04:30:08.810000Z, 14109
2021-12-24T04:31:48.810000Z, 14108
2021-12-24T04:33:28.810000Z, 14108
2021-12-24T04:35:08.810000Z, 14108
2021-12-24T04:36:48.810000Z, 14107
2021-12-24T04:38:28.810000Z, 14104
2021-12-24T04:40:08.810000Z, 14104
2021-12-24T04:41:48.810000Z, 14100
2021-12-24T04:43:28.810000Z, 14097
2021-12-24T04:45:08.810000Z, 14096
2021-12-24T04:46:48.810000Z, 14097
2021-12-24T04:48:28.810000Z, 14096
2021-12-24T04:50:08.810000Z, 14095
2021-12-24T04:51:48.810000Z, 14097
2021-12-24T04:53:28.810000Z, 14090
2021-12-24T04:55:08.810000Z, 14093
2021-12-24T04:56:48.810000Z, 14089
2021-12-24T04:58:28.810000Z, 14087
2021-12-24T05:00:08.810000Z, 14088
2021-12-24T05:01:48.810000Z, 14083
2021-12-24T05:03:28.810000Z, 14083
2021-12-24T05:05:08.810000Z, 14081
2021-12-24T05:06:48.810000Z, 14077
2021-12-24T05:08:28.810000Z, 14079
2021-12-24T05:10:08.810000Z, 14079
2021-12-24T05:11:48.810000Z, 14076
2021-12-24T05:13:28.810000Z, 14077
2021-12-24T05:15:08.810000Z, 14074
2021-12-24T05:16:48.810000Z, 14070
2021-12-24T05:18:28.810000Z, 14070
2021-12-24T05:20:08.810000Z, 14069
2021-12-24T05:21:48.810000Z, 14065
2021-12-24T05:23:28.810000Z, 14064
2021-12-24T05:25:08.810000Z, 14066
2021-12-24T05:26:48.810000Z, 14065
2021-12-24T05:28:28.810000Z, 14063
2021-12-24T05:30:08.810000Z, 14064
2021-12-24T05:31:48.810000Z, 14061
2021-12-24T05:33:28.810000Z, 14060
2021-12-24T05:35:08.810000Z, 14061
2021-12-24T05:36:48.810000Z, 14058
2021-12-24T05:38:28.810000Z, 14057
2021-12-24T05:40:08.810000Z, 14057
2021-12-24T05:41:48.810000Z, 14057
2021-12-24T05:43:28.810000Z, 14054
2021-12-24T05:45:08.810000Z, 14049
2021-12-24T05:46:48.810000Z, 14049
2021-12-24T05:48:28.810000Z, 14049
2021-12-24T05:50:08.810000Z, 14048
2021-12-24T05:51:48.810000Z, 14046
2021-12-24T05:53:28.810000Z, 14048
2021-12-24T05:55:08.810000Z, 14047
2021-12-24T05:56:48.810000Z, 14040
2021-12-24T05:58:28.810000Z, 14040
2021-12-24T06:00:08.810000Z, 14038
2021-12-24T06:01:48.810000Z, 14039
2021-12-24T06:03:28.810000Z, 14037
2021-12-24T06:05:08.810000Z, 14036
2021-12-24T06:06:48.810000Z, 14035
2021-12-24T06:08:28.810000Z, 14034
2021-12-24T06:10:08.810000Z, 14031
2021-12-24T06:11:48.810000Z, 14031
2021-12-24T06:13:28.810000Z, 14028
2021-12-24T06:15:08.810000Z, 14029
2021-12-24T06:16:48.810000Z, 14026
2021-12-24T06:18:28.810000Z, 14025
2021-12-24T06:20:08.810000Z, 14024
2021-12-24T06:21:48.810000Z, 14018
2021-12-24T06:23:28.810000Z, 14019
2021-12-24T06:25:08.810000Z, 14019
2021-12-24T06:26:48.810000Z, 14020
2021-12-24T06:28:28.810000Z, 14016
2021-12-24T06:30:08.810000Z, 14014
2021-12-24T06:31:48.810000Z, 14014
2021-12-24T06:33:28.810000Z, 14013
2021-12-24T06:35:08.810000Z, 14014
2021-12-24T06:36:48.810000Z, 14011
2021-12-24T06:38:28.810000Z, 14008
2021-12-24T06:40:08.810000Z, 14005
2021-12-24T06:41:48.810000Z, 14008
2021-12-24T06:43:28.810000Z, 14002
2021-12-24T06:45:08.810000Z, 14002
2021-12-24T06:46:48.810000Z, 14001
2021-12-24T06:48:28.810000Z, 14002
2021-12-24T06:50:08.810000Z, 14000
2021-12-24T06:51:48.810000Z, 13994
2021-12-24T06:53:28.810000Z, 13996
2021-12-24T06:55:08.810000Z, 13999
2021-12-24T06:56:48.810000Z, 13999
2021-12-24T06:58:28.810000Z, 13993
2021-12-24T07:00:08.810000Z, 13997
2021-12-24T07:01:48.810000Z, 13996
2021-12-24T07:03:28.810000Z, 13991
2021-12-24T07:05:08.810000Z, 13992
2021-12-24T07:06:48.810000Z, 13991
2021-12-24T07:08:28.810000Z, 13987
