# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_37_UKD
# sample_count: 864
# sample_rate_hz: 0.01
# start_time: 2021-12-24T00:00:08.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:08.810000Z, 39827
2021-12-24T00:01:48.810000Z, 39838
2021-12-24T00:03:28.810000Z, 39841
2021-12-24T00:05:08.810000Z, 39842
2021-12-24T00:06:48.810000Z, 39842
2021-12-24T00:08:28.810000Z, 39842
2021-12-24T00:10:08.810000Z, 39842
2021-12-24T00:11:48.810000Z, 39851
2021-12-24T00:13:28.810000Z, 39855
2021-12-24T00:15:08.810000Z, 39857
2021-12-24T00:16:48.810000Z, 39857
2021-12-24T00:18:28.810000Z, 39858
2021-12-24T00:20:08.810000Z, 39858
2021-12-24T00:21:48.810000Z, 39858
2021-12-24T00:23:28.810000Z, 39858
2021-12-24T00:25:08.810000Z, 39858
2021-12-24T00:26:48.810000Z, 39858
2021-12-24T00:28:28.810000Z, 39858
2021-12-24T00:30:08.810000Z, 39858
2021-12-24T00:31:48.810000Z, 39858
2021-12-24T00:33:28.810000Z, 39858
2021-12-24T00:35:08.810000Z, 39858
2021-12-24T00:36:48.810000Z, 39858
2021-12-24T00:38:28.810000Z, 39858
2021-12-24T00:40:08.810000Z, 39858
2021-12-24T00:41:48.810000Z, 39857
2021-12-24T00:43:28.810000Z, 39857
2021-12-24T00:45:08.810000Z, 39857
2021-12-24T00:46:48.810000Z, 39855
2021-12-24T00:48:28.810000Z, 39850
2021-12-24T00:50:08.810000Z, 39843
2021-12-24T00:51:48.810000Z, 39842
2021-12-24T00:53:28.810000Z, 39842
2021-12-24T00:55:08.810000Z, 39842
2021-12-24T00:56:48.810000Z, 39841
2021-12-24T00:58:28.810000Z, 39841
2021-12-24T01:00:08.810000Z, 39834
2021-12-24T01:01:48.810000Z, 39826
2021-12-24T01:03:28.810000Z, 39826
2021-12-24T01:05:08.810000Z, 39826
2021-12-24T01:06:48.810000Z, 39825
2021-12-24T01:08:28.810000Z, 39820
2021-12-24T01:10:08.810000Z, 39810
2021-12-24T01:11:48.810000Z, 39810
2021-12-24T01:13:28.810000Z, 39809
2021-12-24T01:15:08.810000Z, 39808
2021-12-24T01:16:48.810000Z, 39794
2021-12-24T01:18:28.810000Z, 39794
2021-12-24T01:20:08.810000Z, 39794
2021-12-24T01:21:48.810000Z, 39792
2021-12-24T01:23:28.810000Z, 39778
2021-12-24T01:25:08.810000Z, 39778
2021-12-24T01:26:48.810000Z, 39777
2021-12-24T01:28:28.810000Z, 39766
2021-12-24T01:30:08.810000Z, 39762
2021-12-24T01:31:48.810000Z, 39762
2021-12-24T01:33:28.810000Z, 39758
2021-12-24T01:35:08.810000Z, 39746
2021-12-24T01:36:48.810000Z, 39746
2021-12-24T01:38:28.810000Z, 39744
2021-12-24T01:40:08.810000Z, 39730
2021-12-24T01:41:48.810000Z, 39730
2021-12-24T01:43:28.810000Z, 39729
2021-12-24T01:45:08.810000Z, 39714
2021-12-24T01:46:48.810000Z, 39714
2021-12-24T01:48:28.810000Z, 39710
2021-12-24T01:50:08.810000Z, 39698
2021-12-24T01:51:48.810000Z, 39697
2021-12-24T01:53:28.810000Z, 39682
2021-12-24T01:55:08.810000Z, 39682
2021-12-24T01:56:48.810000Z, 39680
2021-12-24T01:58:28.810000Z, 39666
2021-12-24T02:00:08.810000Z, 39665
2021-12-24T02:01:48.810000Z, 39650
2021-12-24T02:03:28.810000Z, 39650
2021-12-24T02:05:08.810000Z, 39640
2021-12-24T02:06:48.810000Z, 39634
2021-12-24T02:08:28.810000Z, 39633
2021-12-24T02:10:08.810000Z, 39618
2021-12-24T02:11:48.810000Z, 39617
2021-12-24T02:13:28.810000Z, 39602
2021-12-24T02:15:08.810000Z, 39601
2021-12-24T02:16:48.810000Z, 39586
2021-12-24T02:18:28.810000Z, 39585
2021-12-24T02:20:08.810000Z, 39570
2021-12-24T02:21:48.810000Z, 39569
2021-12-24T02:23:28.810000Z, 39554
2021-12-24T02:25:08.810000Z, 39553
2021-12-24T02:26:48.810000Z, 39538
2021-12-24T02:28:28.810000Z, 39537
2021-12-24T02:30:08.810000Z, 39522
2021-12-24T02:31:48.810000Z, 39521
2021-12-24T02:33:28.810000Z, 39506
2021-12-24T02:35:08.810000Z, 39503
2021-12-24T02:36:48.810000Z, 39490
2021-12-24T02:38:28.810000Z, 39485
2021-12-24T02:40:08.810000Z, 39474
2021-12-24T02:41:48.810000Z, 39462
2021-12-24T02:43:28.810000Z, 39458
2021-12-24T02:45:08.810000Z, 39442
2021-12-24T02:46:48.810000Z, 39441
2021-12-24T02:48:28.810000Z, 39426
2021-12-24T02:50:08.810000Z, 39419
2021-12-24T02:51:48.810000Z, 39410
2021-12-24T02:53:28.810000Z, 39394
2021-12-24T02:55:08.810000Z, 39393
2021-12-24T02:56:48.810000Z, 39378
2021-12-24T02:58:28.810000Z, 39377
2021-12-24T03:00:08.810000Z, 39362
2021-12-24T03:01:48.810000Z, 39360
2021-12-24T03:03:28.810000Z, 39346
2021-12-24T03:05:08.810000Z, 39332
2021-12-24T03:06:48.810000Z, 39330
2021-12-24T03:08:28.810000Z, 39314
2021-12-24T03:10:08.810000Z, 39309
2021-12-24T03:11:48.810000Z, 39298
2021-12-24T03:13:28.810000Z, 39282
2021-12-24T03:15:08.810000Z, 39281
2021-12-24T03:16:48.810000Z, 39266
2021-12-24T03:18:28.810000Z, 39250
2021-12-24T03:20:08.810000Z, 39250
2021-12-24T03:21:48.810000Z, 39234
2021-12-24T03:23:28.810000Z, 39220
2021-12-24T03:25:08.810000Z, 39218
2021-12-24T03:26:48.810000Z, 39202
2021-12-24T03:28:28.810000Z, 39196
2021-12-24T03:30:08.810000Z, 39186
2021-12-24T03:31:48.810000Z, 39170
2021-12-24T03:33:28.810000Z, 39166
2021-12-24T03:35:08.810000Z, 39154
2021-12-24T03:36:48.810000Z, 39138
2021-12-24T03:38:28.810000Z, 39133
2021-12-24T03:40:08.810000Z, 39122
2021-12-24T03:41:48.810000Z, 39106
2021-12-24T03:43:28.810000Z, 39104
2021-12-24T03:45:08.810000Z, 39090
2021-12-24T03:46:48.810000Z, 39074
2021-12-24T03:48:28.810000Z, 39072
2021-12-24T03:50:08.810000Z, 39058
2021-12-24T03:51:48.810000Z, 39042
2021-12-24T03:53:28.810000Z, 39033
2021-12-24T03:55:08.810000Z, 39026
2021-12-24T03:56:48.810000Z, 39010
