# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYSE_03_VKI
# sample_count: 8640
# sample_rate_hz: 0.1
# start_time: 2021-12-24T00:00:03.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: -0.1
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: Scientific Temperature A
# scale_factor: 1.0
# scale_frequency_hz: 0.005
# scale_units: celsius
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:03.810000Z, 10410561
2021-12-24T00:00:13.810000Z, 10410426
2021-12-24T00:00:23.810000Z, 10410291
2021-12-24T00:00:33.810000Z, 10410154
2021-12-24T00:00:43.810000Z, 10410015
2021-12-24T00:00:53.810000Z, 10409878
2021-12-24T00:01:03.810000Z, 10409739
2021-12-24T00:01:13.810000Z, 10409598
2021-12-24T00:01:23.810000Z, 10409458
2021-12-24T00:01:33.810000Z, 10409318
2021-12-24T00:01:43.810000Z, 10409176
2021-12-24T00:01:53.810000Z, 10409033
2021-12-24T00:02:03.810000Z, 10408890
2021-12-24T00:02:13.810000Z, 10408745
2021-12-24T00:02:23.810000Z, 10408601
2021-12-24T00:02:33.810000Z, 10408456
2021-12-24T00:02:43.810000Z, 10408309
2021-12-24T00:02:53.810000Z, 10408161
2021-12-24T00:03:03.810000Z, 10408013
2021-12-24T00:03:13.810000Z, 10407865
2021-12-24T00:03:23.810000Z, 10407716
2021-12-24T00:03:33.810000Z, 10407565
2021-12-24T00:03:43.810000Z, 10407414
2021-12-24T00:03:53.810000Z, 10407264
2021-12-24T00:04:03.810000Z, 10407112
2021-12-24T00:04:13.810000Z, 10406958
2021-12-24T00:04:23.810000Z, 10406805
2021-12-24T00:04:33.810000Z, 10406651
2021-12-24T00:04:43.810000Z, 10406494
2021-12-24T00:04:53.810000Z, 10406339
2021-12-24T00:05:03.810000Z, 10406182
2021-12-24T00:05:13.810000Z, 10406024
2021-12-24T00:05:23.810000Z, 10405867
2021-12-24T00:05:33.810000Z, 10405707
2021-12-24T00:05:43.810000Z, 10405547
2021-12-24T00:05:53.810000Z, 10405387
2021-12-24T00:06:03.810000Z, 10405226
2021-12-24T00:06:13.810000Z, 10405065
2021-12-24T00:06:23.810000Z, 10404901
2021-12-24T00:06:33.810000Z, 10404739
2021-12-24T00:06:43.810000Z, 10404575
2021-12-24T00:06:53.810000Z, 10404409
2021-12-24T00:07:03.810000Z, 10404244
2021-12-24T00:07:13.810000Z, 10404078
2021-12-24T00:07:23.810000Z, 10403910
2021-12-24T00:07:33.810000Z, 10403744
2021-12-24T00:07:43.810000Z, 10403574
2021-12-24T00:07:53.810000Z, 10403404
2021-12-24T00:08:03.810000Z, 10403234
2021-12-24T00:08:13.810000Z, 10403063
2021-12-24T00:08:23.810000Z, 10402893
2021-12-24T00:08:33.810000Z, 10402722
2021-12-24T00:08:43.810000Z, 10402548
2021-12-24T00:08:53.810000Z, 10402373
2021-12-24T00:09:03.810000Z, 10402199
2021-12-24T00:09:13.810000Z, 10402025
2021-12-24T00:09:23.810000Z, 10401849
2021-12-24T00:09:33.810000Z, 10401673
2021-12-24T00:09:43.810000Z, 10401495
2021-12-24T00:09:53.810000Z, 10401316
2021-12-24T00:10:03.810000Z, 10401138
2021-12-24T00:10:13.810000Z, 10400958
2021-12-24T00:10:23.810000Z, 10400778
2021-12-24T00:10:33.810000Z, 10400598
2021-12-24T00:10:43.810000Z, 10400416
2021-12-24T00:10:53.810000Z, 10400233
2021-12-24T00:11:03.810000Z, 10400051
2021-12-24T00:11:13.810000Z, 10399867
2021-12-24T00:11:23.810000Z, 10399682
2021-12-24T00:11:33.810000Z, 10399498
2021-12-24T00:11:43.810000Z, 10399312
2021-12-24T00:11:53.810000Z, 10399125
2021-12-24T00:12:03.810000Z, 10398938
2021-12-24T00:12:13.810000Z, 10398750
2021-12-24T00:12:23.810000Z, 10398562
2021-12-24T00:12:33.810000Z, 10398371
2021-12-24T00:12:43.810000Z, 10398180
2021-12-24T00:12:53.810000Z, 10397990
2021-12-24T00:13:03.810000Z, 10397798
2021-12-24T00:13:13.810000Z, 10397607
2021-12-24T00:13:23.810000Z, 10397414
2021-12-24T00:13:33.810000Z, 10397219
2021-12-24T00:13:43.810000Z, 10397026
2021-12-24T00:13:53.810000Z, 10396829
2021-12-24T00:14:03.810000Z, 10396634
2021-12-24T00:14:13.810000Z, 10396438
2021-12-24T00:14:23.810000Z, 10396240
2021-12-24T00:14:33.810000Z, 10396043
2021-12-24T00:14:43.810000Z, 10395844
2021-12-24T00:14:53.810000Z, 10395644
2021-12-24T00:15:03.810000Z, 10395444
2021-12-24T00:15:13.810000Z, 10395244
2021-12-24T00:15:23.810000Z, 10395042
2021-12-24T00:15:33.810000Z, 10394840
2021-12-24T00:15:43.810000Z, 10394638
2021-12-24T00:15:53.810000Z, 10394434
2021-12-24T00:16:03.810000Z, 10394229
2021-12-24T00:16:13.810000Z, 10394024
2021-12-24T00:16:23.810000Z, 10393819
2021-12-24T00:16:33.810000Z, 10393612
2021-12-24T00:16:43.810000Z, 10393405
2021-12-24T00:16:53.810000Z, 10393196
2021-12-24T00:17:03.810000Z, 10392987
2021-12-24T00:17:13.810000Z, 10392779
2021-12-24T00:17:23.810000Z, 10392569
2021-12-24T00:17:33.810000Z, 10392358
2021-12-24T00:17:43.810000Z, 10392148
2021-12-24T00:17:53.810000Z, 10391936
2021-12-24T00:18:03.810000Z, 10391723
2021-12-24T00:18:13.810000Z, 10391510
2021-12-24T00:18:23.810000Z, 10391295
2021-12-24T00:18:33.810000Z, 10391080
2021-12-24T00:18:43.810000Z, 10390866
2021-12-24T00:18:53.810000Z, 10390650
2021-12-24T00:19:03.810000Z, 10390433
2021-12-24T00:19:13.810000Z, 10390215
2021-12-24T00:19:23.810000Z, 10389998
2021-12-24T00:19:33.810000Z, 10389778
2021-12-24T00:19:43.810000Z, 10389559
2021-12-24T00:19:53.810000Z, 10389340
2021-12-24T00:20:03.810000Z, 10389119
2021-12-24T00:20:13.810000Z, 10388896
2021-12-24T00:20:23.810000Z, 10388674
2021-12-24T00:20:33.810000Z, 10388453
2021-12-24T00:20:43.810000Z, 10388228
2021-12-24T00:20:53.810000Z, 10388004
2021-12-24T00:21:03.810000Z, 10387781
2021-12-24T00:21:13.810000Z, 10387554
2021-12-24T00:21:23.810000Z, 10387327
2021-12-24T00:21:33.810000Z, 10387101
2021-12-24T00:21:43.810000Z, 10386874
2021-12-24T00:21:53.810000Z, 10386645
2021-12-24T00:22:03.810000Z, 10386415
2021-12-24T00:22:13.810000Z, 10386187
2021-12-24T00:22:23.810000Z, 10385958
2021-12-24T00:22:33.810000Z, 10385726
2021-12-24T00:22:43.810000Z, 10385495
2021-12-24T00:22:53.810000Z, 10385263
2021-12-24T00:23:03.810000Z, 10385030
2021-12-24T00:23:13.810000Z, 10384797
2021-12-24T00:23:23.810000Z, 10384562
2021-12-24T00:23:33.810000Z, 10384328
2021-12-24T00:23:43.810000Z, 10384092
2021-12-24T00:23:53.810000Z, 10383857
2021-12-24T00:24:03.810000Z, 10383621
2021-12-24T00:24:13.810000Z, 10383382
2021-12-24T00:24:23.810000Z, 10383144
2021-12-24T00:24:33.810000Z, 10382906
2021-12-24T00:24:43.810000Z, 10382667
2021-12-24T00:24:53.810000Z, 10382427
2021-12-24T00:25:03.810000Z, 10382186
2021-12-24T00:25:13.810000Z, 10381944
2021-12-24T00:25:23.810000Z, 10381703
2021-12-24T00:25:33.810000Z, 10381460
2021-12-24T00:25:43.810000Z, 10381217
2021-12-24T00:25:53.810000Z, 10380973
2021-12-24T00:26:03.810000Z, 10380730
2021-12-24T00:26:13.810000Z, 10380485
2021-12-24T00:26:23.810000Z, 10380240
2021-12-24T00:26:33.810000Z, 10379993
2021-12-24T00:26:43.810000Z, 10379745
2021-12-24T00:26:53.810000Z, 10379498
2021-12-24T00:27:03.810000Z, 10379250
2021-12-24T00:27:13.810000Z, 10379001
2021-12-24T00:27:23.810000Z, 10378751
2021-12-24T00:27:33.810000Z, 10378502
2021-12-24T00:27:43.810000Z, 10378252
2021-12-24T00:27:53.810000Z, 10378000
2021-12-24T00:28:03.810000Z, 10377748
2021-12-24T00:28:13.810000Z, 10377496
2021-12-24T00:28:23.810000Z, 10377242
2021-12-24T00:28:33.810000Z, 10376989
2021-12-24T00:28:43.810000Z, 10376735
2021-12-24T00:28:53.810000Z, 10376480
2021-12-24T00:29:03.810000Z, 10376224
2021-12-24T00:29:13.810000Z, 10375969
2021-12-24T00:29:23.810000Z, 10375712
2021-12-24T00:29:33.810000Z, 10375453
2021-12-24T00:29:43.810000Z, 10375196
2021-12-24T00:29:53.810000Z, 10374938
2021-12-24T00:30:03.810000Z, 10374679
2021-12-24T00:30:13.810000Z, 10374419
2021-12-24T00:30:23.810000Z, 10374158
2021-12-24T00:30:33.810000Z, 10373896
2021-12-24T00:30:43.810000Z, 10373635
2021-12-24T00:30:53.810000Z, 10373373
2021-12-24T00:31:03.810000Z, 10373111
2021-12-24T00:31:13.810000Z, 10372846
2021-12-24T00:31:23.810000Z, 10372582
2021-12-24T00:31:33.810000Z, 10372319
2021-12-24T00:31:43.810000Z, 10372054
2021-12-24T00:31:53.810000Z, 10371787
2021-12-24T00:32:03.810000Z, 10371521
2021-12-24T00:32:13.810000Z, 10371254
2021-12-24T00:32:23.810000Z, 10370986
2021-12-24T00:32:33.810000Z, 10370718
2021-12-24T00:32:43.810000Z, 10370450
2021-12-24T00:32:53.810000Z, 10370182
2021-12-24T00:33:03.810000Z, 10369911
2021-12-24T00:33:13.810000Z, 10369640
2021-12-24T00:33:23.810000Z, 10369370
2021-12-24T00:33:33.810000Z, 10369099
2021-12-24T00:33:43.810000Z, 10368827
2021-12-24T00:33:53.810000Z, 10368554
2021-12-24T00:34:03.810000Z, 10368280
2021-12-24T00:34:13.810000Z, 10368006
2021-12-24T00:34:23.810000Z, 10367732
2021-12-24T00:34:33.810000Z, 10367458
2021-12-24T00:34:43.810000Z, 10367182
2021-12-24T00:34:53.810000Z, 10366906
2021-12-24T00:35:03.810000Z, 10366630
2021-12-24T00:35:13.810000Z, 10366352
2021-12-24T00:35:23.810000Z, 10366074
2021-12-24T00:35:33.810000Z, 10365796
2021-12-24T00:35:43.810000Z, 10365516
2021-12-24T00:35:53.810000Z, 10365237
2021-12-24T00:36:03.810000Z, 10364958
2021-12-24T00:36:13.810000Z, 10364678
2021-12-24T00:36:23.810000Z, 10364396
2021-12-24T00:36:33.810000Z, 10364114
2021-12-24T00:36:43.810000Z, 10363832
2021-12-24T00:36:53.810000Z, 10363549
2021-12-24T00:37:03.810000Z, 10363266
2021-12-24T00:37:13.810000Z, 10362982
2021-12-24T00:37:23.810000Z, 10362699
2021-12-24T00:37:33.810000Z, 10362413
2021-12-24T00:37:43.810000Z, 10362126
2021-12-24T00:37:53.810000Z, 10361841
2021-12-24T00:38:03.810000Z, 10361555
2021-12-24T00:38:13.810000Z, 10361268
2021-12-24T00:38:23.810000Z, 10360981
2021-12-24T00:38:33.810000Z, 10360693
2021-12-24T00:38:43.810000Z, 10360404
2021-12-24T00:38:53.810000Z, 10360115
2021-12-24T00:39:03.810000Z, 10359825
2021-12-24T00:39:13.810000Z, 10359535
2021-12-24T00:39:23.810000Z, 10359245
2021-12-24T00:39:33.810000Z, 10358953
2021-12-24T00:39:43.810000Z, 10358662
2021-12-24T00:39:53.810000Z, 10358370
2021-12-24T00:40:03.810000Z, 10358076
2021-12-24T00:40:13.810000Z, 10357784
2021-12-24T00:40:23.810000Z, 10357490
2021-12-24T00:40:33.810000Z, 10357194
2021-12-24T00:40:43.810000Z, 10356899
2021-12-24T00:40:53.810000Z, 10356604
2021-12-24T00:41:03.810000Z, 10356309
2021-12-24T00:41:13.810000Z, 10356012
2021-12-24T00:41:23.810000Z, 10355715
2021-12-24T00:41:33.810000Z, 10355418
2021-12-24T00:41:43.810000Z, 10355121
2021-12-24T00:41:53.810000Z, 10354822
2021-12-24T00:42:03.810000Z, 10354522
2021-12-24T00:42:13.810000Z, 10354223
2021-12-24T00:42:23.810000Z, 10353922
2021-12-24T00:42:33.810000Z, 10353623
2021-12-24T00:42:43.810000Z, 10353323
2021-12-24T00:42:53.810000Z, 10353020
2021-12-24T00:43:03.810000Z, 10352719
2021-12-24T00:43:13.810000Z, 10352416
2021-12-24T00:43:23.810000Z, 10352112
2021-12-24T00:43:33.810000Z, 10351810
2021-12-24T00:43:43.810000Z, 10351506
2021-12-24T00:43:53.810000Z, 10351201
2021-12-24T00:44:03.810000Z, 10350897
2021-12-24T00:44:13.810000Z, 10350592
2021-12-24T00:44:23.810000Z, 10350285
2021-12-24T00:44:33.810000Z, 10349979
2021-12-24T00:44:43.810000Z, 10349672
2021-12-24T00:44:53.810000Z, 10349365
2021-12-24T00:45:03.810000Z, 10349059
