# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYSE_03_VKW
# sample_count: 8640
# sample_rate_hz: 0.1
# start_time: 2021-12-24T00:00:00.709000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: -0.1
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: VBB  Temperature
# scale_factor: 1.0
# scale_frequency_hz: 0.005
# scale_units: celsius
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:00.709000Z, 46063
2021-12-24T00:00:10.709000Z, 46065
2021-12-24T00:00:20.709000Z, 46066
2021-12-24T00:00:30.709000Z, 46067
2021-12-24T00:00:40.709000Z, 46069
2021-12-24T00:00:50.709000Z, 46071
2021-12-24T00:01:00.709000Z, 46072
2021-12-24T00:01:10.709000Z, 46073
2021-12-24T00:01:20.709000Z, 46075
2021-12-24T00:01:30.709000Z, 46077
2021-12-24T00:01:40.709000Z, 46078
2021-12-24T00:01:50.709000Z, 46079
2021-12-24T00:02:00.709000Z, 46081
2021-12-24T00:02:10.709000Z, 46082
2021-12-24T00:02:20.709000Z, 46084
2021-12-24T00:02:30.709000Z, 46086
2021-12-24T00:02:40.709000Z, 46087
2021-12-24T00:02:50.709000Z, 46088
2021-12-24T00:03:00.709000Z, 46090
2021-12-24T00:03:10.709000Z, 46092
2021-12-24T00:03:20.709000Z, 46093
2021-12-24T00:03:30.709000Z, 46094
2021-12-24T00:03:40.709000Z, 46096
2021-12-24T00:03:50.709000Z, 46097
2021-12-24T00:04:00.709000Z, 46099
2021-12-24T00:04:10.709000Z, 46100
2021-12-24T00:04:20.709000Z, 46102
2021-12-24T00:04:30.709000Z, 46103
2021-12-24T00:04:40.709000Z, 46105
2021-12-24T00:04:50.709000Z, 46106
2021-12-24T00:05:00.709000Z, 46107
2021-12-24T00:05:10.709000Z, 46109
2021-12-24T00:05:20.709000Z, 46111
2021-12-24T00:05:30.709000Z, 46112
2021-12-24T00:05:40.709000Z, 46114
2021-12-24T00:05:50.709000Z, 46115
2021-12-24T00:06:00.709000Z, 46117
2021-12-24T00:06:10.709000Z, 46118
2021-12-24T00:06:20.709000Z, 46119
2021-12-24T00:06:30.709000Z, 46121
2021-12-24T00:06:40.709000Z, 46122
2021-12-24T00:06:50.709000Z, 46124
2021-12-24T00:07:00.709000Z, 46125
2021-12-24T00:07:10.709000Z, 46127
2021-12-24T00:07:20.709000Z, 46128
2021-12-24T00:07:30.709000Z, 46129
2021-12-24T00:07:40.709000Z, 46131
2021-12-24T00:07:50.709000Z, 46133
2021-12-24T00:08:00.709000Z, 46134
2021-12-24T00:08:10.709000Z, 46135
2021-12-24T00:08:20.709000Z, 46137
2021-12-24T00:08:30.709000Z, 46138
2021-12-24T00:08:40.709000Z, 46140
2021-12-24T00:08:50.709000Z, 46141
2021-12-24T00:09:00.709000Z, 46142
2021-12-24T00:09:10.709000Z, 46144
2021-12-24T00:09:20.709000Z, 46146
2021-12-24T00:09:30.709000Z, 46147
2021-12-24T00:09:40.709000Z, 46148
2021-12-24T00:09:50.709000Z, 46150
2021-12-24T00:10:00.709000Z, 46151
2021-12-24T00:10:10.709000Z, 46152
2021-12-24T00:10:20.709000Z, 46154
2021-12-24T00:10:30.709000Z, 46156
2021-12-24T00:10:40.709000Z, 46157
2021-12-24T00:10:50.709000Z, 46158
2021-12-24T00:11:00.709000Z, 46160
2021-12-24T00:11:10.709000Z, 46161
2021-12-24T00:11:20.709000Z, 46162
2021-12-24T00:11:30.709000Z, 46164
2021-12-24T00:11:40.709000Z, 46165
2021-12-24T00:11:50.709000Z, 46167
2021-12-24T00:12:00.709000Z, 46168
2021-12-24T00:12:10.709000Z, 46169
2021-12-24T00:12:20.709000Z, 46171
2021-12-24T00:12:30.709000Z, 46172
2021-12-24T00:12:40.709000Z, 46174
2021-12-24T00:12:50.709000Z, 46175
2021-12-24T00:13:00.709000Z, 46176
2021-12-24T00:13:10.709000Z, 46178
2021-12-24T00:13:20.709000Z, 46180
2021-12-24T00:13:30.709000Z, 46181
2021-12-24T00:13:40.709000Z, 46182
2021-12-24T00:13:50.709000Z, 46183
2021-12-24T00:14:00.709000Z, 46185
2021-12-24T00:14:10.709000Z, 46186
2021-12-24T00:14:20.709000Z, 46188
2021-12-24T00:14:30.709000Z, 46189
2021-12-24T00:14:40.709000Z, 46190
2021-12-24T00:14:50.709000Z, 46191
2021-12-24T00:15:00.709000Z, 46193
2021-12-24T00:15:10.709000Z, 46194
2021-12-24T00:15:20.709000Z, 46196
2021-12-24T00:15:30.709000Z, 46197
2021-12-24T00:15:40.709000Z, 46198
2021-12-24T00:15:50.709000Z, 46200
2021-12-24T00:16:00.709000Z, 46201
2021-12-24T00:16:10.709000Z, 46202
2021-12-24T00:16:20.709000Z, 46204
2021-12-24T00:16:30.709000Z, 46205
2021-12-24T00:16:40.709000Z, 46207
2021-12-24T00:16:50.709000Z, 46208
2021-12-24T00:17:00.709000Z, 46209
2021-12-24T00:17:10.709000Z, 46210
2021-12-24T00:17:20.709000Z, 46212
2021-12-24T00:17:30.709000Z, 46213
2021-12-24T00:17:40.709000Z, 46214
2021-12-24T00:17:50.709000Z, 46216
2021-12-24T00:18:00.709000Z, 46217
2021-12-24T00:18:10.709000Z, 46219
2021-12-24T00:18:20.709000Z, 46220
2021-12-24T00:18:30.709000Z, 46221
2021-12-24T00:18:40.709000Z, 46222
2021-12-24T00:18:50.709000Z, 46224
2021-12-24T00:19:00.709000Z, 46225
2021-12-24T00:19:10.709000Z, 46226
2021-12-24T00:19:20.709000Z, 46228
2021-12-24T00:19:30.709000Z, 46229
2021-12-24T00:19:40.709000Z, 46230
2021-12-24T00:19:50.709000Z, 46232
2021-12-24T00:20:00.709000Z, 46233
2021-12-24T00:20:10.709000Z, 46234
2021-12-24T00:20:20.709000Z, 46236
2021-12-24T00:20:30.709000Z, 46237
2021-12-24T00:20:40.709000Z, 46238
2021-12-24T00:20:50.709000Z, 46240
2021-12-24T00:21:00.709000Z, 46241
2021-12-24T00:21:10.709000Z, 46242
2021-12-24T00:21:20.709000Z, 46244
2021-12-24T00:21:30.709000Z, 46245
2021-12-24T00:21:40.709000Z, 46246
2021-12-24T00:21:50.709000Z, 46247
2021-12-24T00:22:00.709000Z, 46248
2021-12-24T00:22:10.709000Z, 46249
2021-12-24T00:22:20.709000Z, 46250
2021-12-24T00:22:30.709000Z, 46252
2021-12-24T00:22:40.709000Z, 46253
2021-12-24T00:22:50.709000Z, 46255
2021-12-24T00:23:00.709000Z, 46256
2021-12-24T00:23:10.709000Z, 46257
2021-12-24T00:23:20.709000Z, 46258
2021-12-24T00:23:30.709000Z, 46260
2021-12-24T00:23:40.709000Z, 46261
2021-12-24T00:23:50.709000Z, 46262
2021-12-24T00:24:00.709000Z, 46263
2021-12-24T00:24:10.709000Z, 46265
2021-12-24T00:24:20.709000Z, 46266
2021-12-24T00:24:30.709000Z, 46268
2021-12-24T00:24:40.709000Z, 46269
2021-12-24T00:24:50.709000Z, 46270
2021-12-24T00:25:00.709000Z, 46271
2021-12-24T00:25:10.709000Z, 46272
2021-12-24T00:25:20.709000Z, 46273
2021-12-24T00:25:30.709000Z, 46275
2021-12-24T00:25:40.709000Z, 46276
2021-12-24T00:25:50.709000Z, 46277
2021-12-24T00:26:00.709000Z, 46278
2021-12-24T00:26:10.709000Z, 46279
2021-12-24T00:26:20.709000Z, 46281
2021-12-24T00:26:30.709000Z, 46282
2021-12-24T00:26:40.709000Z, 46283
2021-12-24T00:26:50.709000Z, 46284
2021-12-24T00:27:00.709000Z, 46286
2021-12-24T00:27:10.709000Z, 46287
2021-12-24T00:27:20.709000Z, 46289
2021-12-24T00:27:30.709000Z, 46290
2021-12-24T00:27:40.709000Z, 46290
2021-12-24T00:27:50.709000Z, 46292
2021-12-24T00:28:00.709000Z, 46293
2021-12-24T00:28:10.709000Z, 46294
2021-12-24T00:28:20.709000Z, 46296
2021-12-24T00:28:30.709000Z, 46296
2021-12-24T00:28:40.709000Z, 46298
2021-12-24T00:28:50.709000Z, 46299
2021-12-24T00:29:00.709000Z, 46300
2021-12-24T00:29:10.709000Z, 46302
2021-12-24T00:29:20.709000Z, 46303
2021-12-24T00:29:30.709000Z, 46304
2021-12-24T00:29:40.709000Z, 46305
2021-12-24T00:29:50.709000Z, 46306
2021-12-24T00:30:00.709000Z, 46307
2021-12-24T00:30:10.709000Z, 46308
2021-12-24T00:30:20.709000Z, 46310
2021-12-24T00:30:30.709000Z, 46311
2021-12-24T00:30:40.709000Z, 46312
2021-12-24T00:30:50.709000Z, 46313
2021-12-24T00:31:00.709000Z, 46314
2021-12-24T00:31:10.709000Z, 46315
2021-12-24T00:31:20.709000Z, 46317
2021-12-24T00:31:30.709000Z, 46319
2021-12-24T00:31:40.709000Z, 46319
2021-12-24T00:31:50.709000Z, 46320
2021-12-24T00:32:00.709000Z, 46321
2021-12-24T00:32:10.709000Z, 46322
2021-12-24T00:32:20.709000Z, 46324
2021-12-24T00:32:30.709000Z, 46325
2021-12-24T00:32:40.709000Z, 46326
2021-12-24T00:32:50.709000Z, 46327
2021-12-24T00:33:00.709000Z, 46328
2021-12-24T00:33:10.709000Z, 46329
2021-12-24T00:33:20.709000Z, 46330
2021-12-24T00:33:30.709000Z, 46332
2021-12-24T00:33:40.709000Z, 46333
2021-12-24T00:33:50.709000Z, 46334
2021-12-24T00:34:00.709000Z, 46335
2021-12-24T00:34:10.709000Z, 46337
2021-12-24T00:34:20.709000Z, 46337
2021-12-24T00:34:30.709000Z, 46338
2021-12-24T00:34:40.709000Z, 46340
2021-12-24T00:34:50.709000Z, 46341
2021-12-24T00:35:00.709000Z, 46342
2021-12-24T00:35:10.709000Z, 46343
2021-12-24T00:35:20.709000Z, 46344
2021-12-24T00:35:30.709000Z, 46345
2021-12-24T00:35:40.709000Z, 46346
2021-12-24T00:35:50.709000Z, 46348
2021-12-24T00:36:00.709000Z, 46349
2021-12-24T00:36:10.709000Z, 46350
2021-12-24T00:36:20.709000Z, 46351
2021-12-24T00:36:30.709000Z, 46352
2021-12-24T00:36:40.709000Z, 46353
2021-12-24T00:36:50.709000Z, 46354
2021-12-24T00:37:00.709000Z, 46356
2021-12-24T00:37:10.709000Z, 46356
2021-12-24T00:37:20.709000Z, 46357
2021-12-24T00:37:30.709000Z, 46359
2021-12-24T00:37:40.709000Z, 46360
2021-12-24T00:37:50.709000Z, 46361
2021-12-24T00:38:00.709000Z, 46362
2021-12-24T00:38:10.709000Z, 46363
2021-12-24T00:38:20.709000Z, 46364
2021-12-24T00:38:30.709000Z, 46365
2021-12-24T00:38:40.709000Z, 46366
2021-12-24T00:38:50.709000Z, 46367
2021-12-24T00:39:00.709000Z, 46368
2021-12-24T00:39:10.709000Z, 46369
2021-12-24T00:39:20.709000Z, 46370
2021-12-24T00:39:30.709000Z, 46371
2021-12-24T00:39:40.709000Z, 46372
2021-12-24T00:39:50.709000Z, 46374
2021-12-24T00:40:00.709000Z, 46375
2021-12-24T00:40:10.709000Z, 46375
2021-12-24T00:40:20.709000Z, 46377
2021-12-24T00:40:30.709000Z, 46378
2021-12-24T00:40:40.709000Z, 46379
2021-12-24T00:40:50.709000Z, 46380
2021-12-24T00:41:00.709000Z, 46381
