# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYSE_05_VMU
# sample_count: 43200
# sample_rate_hz: 0.5
# start_time: 2021-12-24T00:00:01.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: -0.1
# azimuth_deg: 135.1
# dip_deg: -29.4
# instrument: VBB Pos SCI mode
# scale_factor: 1.4068E10
# scale_frequency_hz: 0.005
# scale_units: m/s**2
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:01.810000Z, 1834416
2021-12-24T00:00:03.810000Z, 1833858
2021-12-24T00:00:05.810000Z, 1833298
2021-12-24T00:00:07.810000Z, 1832737
2021-12-24T00:00:09.810000Z, 1832174
2021-12-24T00:00:11.810000Z, 1831609
2021-12-24T00:00:13.810000Z, 1831046
2021-12-24T00:00:15.810000Z, 1830490
2021-12-24T00:00:17.810000Z, 1829929
2021-12-24T00:00:19.810000Z, 1829367
2021-12-24T00:00:21.810000Z, 1828809
2021-12-24T00:00:23.810000Z, 1828240
2021-12-24T00:00:25.810000Z, 1827670
2021-12-24T00:00:27.810000Z, 1827101
2021-12-24T00:00:29.810000Z, 1826536
2021-12-24T00:00:31.810000Z, 1825974
2021-12-24T00:00:33.810000Z, 1825407
2021-12-24T00:00:35.810000Z, 1824845
2021-12-24T00:00:37.810000Z, 1824285
2021-12-24T00:00:39.810000Z, 1823713
2021-12-24T00:00:41.810000Z, 1823145
2021-12-24T00:00:43.810000Z, 1822576
2021-12-24T00:00:45.810000Z, 1822002
2021-12-24T00:00:47.810000Z, 1821437
2021-12-24T00:00:49.810000Z, 1820872
2021-12-24T00:00:51.810000Z, 1820307
2021-12-24T00:00:53.810000Z, 1819741
2021-12-24T00:00:55.810000Z, 1819175
2021-12-24T00:00:57.810000Z, 1818609
2021-12-24T00:00:59.810000Z, 1818035
2021-12-24T00:01:01.810000Z, 1817470
2021-12-24T00:01:03.810000Z, 1816902
2021-12-24T00:01:05.810000Z, 1816333
2021-12-24T00:01:07.810000Z, 1815769
2021-12-24T00:01:09.810000Z, 1815203
2021-12-24T00:01:11.810000Z, 1814639
2021-12-24T00:01:13.810000Z, 1814073
2021-12-24T00:01:15.810000Z, 1813511
2021-12-24T00:01:17.810000Z, 1812941
2021-12-24T00:01:19.810000Z, 1812368
2021-12-24T00:01:21.810000Z, 1811801
2021-12-24T00:01:23.810000Z, 1811228
2021-12-24T00:01:25.810000Z, 1810657
2021-12-24T00:01:27.810000Z, 1810088
2021-12-24T00:01:29.810000Z, 1809521
2021-12-24T00:01:31.810000Z, 1808960
2021-12-24T00:01:33.810000Z, 1808393
2021-12-24T00:01:35.810000Z, 1807828
2021-12-24T00:01:37.810000Z, 1807268
2021-12-24T00:01:39.810000Z, 1806698
2021-12-24T00:01:41.810000Z, 1806126
2021-12-24T00:01:43.810000Z, 1805560
2021-12-24T00:01:45.810000Z, 1804993
2021-12-24T00:01:47.810000Z, 1804424
2021-12-24T00:01:49.810000Z, 1803854
2021-12-24T00:01:51.810000Z, 1803289
2021-12-24T00:01:53.810000Z, 1802730
2021-12-24T00:01:55.810000Z, 1802167
2021-12-24T00:01:57.810000Z, 1801600
2021-12-24T00:01:59.810000Z, 1801034
2021-12-24T00:02:01.810000Z, 1800464
2021-12-24T00:02:03.810000Z, 1799899
2021-12-24T00:02:05.810000Z, 1799335
2021-12-24T00:02:07.810000Z, 1798759
2021-12-24T00:02:09.810000Z, 1798192
2021-12-24T00:02:11.810000Z, 1797626
2021-12-24T00:02:13.810000Z, 1797053
2021-12-24T00:02:15.810000Z, 1796480
2021-12-24T00:02:17.810000Z, 1795908
2021-12-24T00:02:19.810000Z, 1795334
2021-12-24T00:02:21.810000Z, 1794763
2021-12-24T00:02:23.810000Z, 1794199
2021-12-24T00:02:25.810000Z, 1793633
2021-12-24T00:02:27.810000Z, 1793065
2021-12-24T00:02:29.810000Z, 1792493
2021-12-24T00:02:31.810000Z, 1791922
2021-12-24T00:02:33.810000Z, 1791355
2021-12-24T00:02:35.810000Z, 1790783
2021-12-24T00:02:37.810000Z, 1790210
2021-12-24T00:02:39.810000Z, 1789636
2021-12-24T00:02:41.810000Z, 1789063
2021-12-24T00:02:43.810000Z, 1788485
2021-12-24T00:02:45.810000Z, 1787911
2021-12-24T00:02:47.810000Z, 1787337
2021-12-24T00:02:49.810000Z, 1786760
2021-12-24T00:02:51.810000Z, 1786192
2021-12-24T00:02:53.810000Z, 1785619
2021-12-24T00:02:55.810000Z, 1785049
2021-12-24T00:02:57.810000Z, 1784481
2021-12-24T00:02:59.810000Z, 1783897
2021-12-24T00:03:01.810000Z, 1783316
2021-12-24T00:03:03.810000Z, 1782739
2021-12-24T00:03:05.810000Z, 1782162
2021-12-24T00:03:07.810000Z, 1781590
2021-12-24T00:03:09.810000Z, 1781018
2021-12-24T00:03:11.810000Z, 1780446
2021-12-24T00:03:13.810000Z, 1779873
2021-12-24T00:03:15.810000Z, 1779303
2021-12-24T00:03:17.810000Z, 1778738
2021-12-24T00:03:19.810000Z, 1778165
2021-12-24T00:03:21.810000Z, 1777583
2021-12-24T00:03:23.810000Z, 1777000
2021-12-24T00:03:25.810000Z, 1776415
2021-12-24T00:03:27.810000Z, 1775838
2021-12-24T00:03:29.810000Z, 1775265
2021-12-24T00:03:31.810000Z, 1774698
2021-12-24T00:03:33.810000Z, 1774130
2021-12-24T00:03:35.810000Z, 1773556
2021-12-24T00:03:37.810000Z, 1772983
2021-12-24T00:03:39.810000Z, 1772412
2021-12-24T00:03:41.810000Z, 1771840
2021-12-24T00:03:43.810000Z, 1771257
2021-12-24T00:03:45.810000Z, 1770678
2021-12-24T00:03:47.810000Z, 1770107
2021-12-24T00:03:49.810000Z, 1769529
2021-12-24T00:03:51.810000Z, 1768950
2021-12-24T00:03:53.810000Z, 1768370
2021-12-24T00:03:55.810000Z, 1767787
2021-12-24T00:03:57.810000Z, 1767200
2021-12-24T00:03:59.810000Z, 1766618
2021-12-24T00:04:01.810000Z, 1766040
2021-12-24T00:04:03.810000Z, 1765460
2021-12-24T00:04:05.810000Z, 1764877
2021-12-24T00:04:07.810000Z, 1764270
2021-12-24T00:04:09.810000Z, 1763653
2021-12-24T00:04:11.810000Z, 1763049
2021-12-24T00:04:13.810000Z, 1762457
2021-12-24T00:04:15.810000Z, 1761885
2021-12-24T00:04:17.810000Z, 1761315
2021-12-24T00:04:19.810000Z, 1760744
2021-12-24T00:04:21.810000Z, 1760179
2021-12-24T00:04:23.810000Z, 1759611
2021-12-24T00:04:25.810000Z, 1759042
2021-12-24T00:04:27.810000Z, 1758469
2021-12-24T00:04:29.810000Z, 1757903
2021-12-24T00:04:31.810000Z, 1757335
2021-12-24T00:04:33.810000Z, 1756762
2021-12-24T00:04:35.810000Z, 1756193
2021-12-24T00:04:37.810000Z, 1755611
2021-12-24T00:04:39.810000Z, 1755028
2021-12-24T00:04:41.810000Z, 1754447
2021-12-24T00:04:43.810000Z, 1753869
2021-12-24T00:04:45.810000Z, 1753295
2021-12-24T00:04:47.810000Z, 1752715
2021-12-24T00:04:49.810000Z, 1752137
2021-12-24T00:04:51.810000Z, 1751564
2021-12-24T00:04:53.810000Z, 1750995
2021-12-24T00:04:55.810000Z, 1750419
2021-12-24T00:04:57.810000Z, 1749845
2021-12-24T00:04:59.810000Z, 1749269
2021-12-24T00:05:01.810000Z, 1748684
2021-12-24T00:05:03.810000Z, 1748107
2021-12-24T00:05:05.810000Z, 1747530
2021-12-24T00:05:07.810000Z, 1746946
2021-12-24T00:05:09.810000Z, 1746362
2021-12-24T00:05:11.810000Z, 1745779
2021-12-24T00:05:13.810000Z, 1745194
2021-12-24T00:05:15.810000Z, 1744608
