# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYSE_05_VMV
# sample_count: 43200
# sample_rate_hz: 0.5
# start_time: 2021-12-24T00:00:01.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: -0.1
# azimuth_deg: 15.0
# dip_deg: -29.2
# instrument: VBB Pos SCI mode
# scale_factor: 1.45771E10
# scale_frequency_hz: 0.005
# scale_units: m/s**2
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:01.810000Z, 965251
2021-12-24T00:00:03.810000Z, 964734
2021-12-24T00:00:05.810000Z, 964218
2021-12-24T00:00:07.810000Z, 963701
2021-12-24T00:00:09.810000Z, 963192
2021-12-24T00:00:11.810000Z, 962676
2021-12-24T00:00:13.810000Z, 962151
2021-12-24T00:00:15.810000Z, 961638
2021-12-24T00:00:17.810000Z, 961122
2021-12-24T00:00:19.810000Z, 960605
2021-12-24T00:00:21.810000Z, 960091
2021-12-24T00:00:23.810000Z, 959576
2021-12-24T00:00:25.810000Z, 959063
2021-12-24T00:00:27.810000Z, 958557
2021-12-24T00:00:29.810000Z, 958049
2021-12-24T00:00:31.810000Z, 957529
2021-12-24T00:00:33.810000Z, 957008
2021-12-24T00:00:35.810000Z, 956488
2021-12-24T00:00:37.810000Z, 955969
2021-12-24T00:00:39.810000Z, 955450
2021-12-24T00:00:41.810000Z, 954930
2021-12-24T00:00:43.810000Z, 954417
2021-12-24T00:00:45.810000Z, 953906
2021-12-24T00:00:47.810000Z, 953395
2021-12-24T00:00:49.810000Z, 952880
2021-12-24T00:00:51.810000Z, 952364
2021-12-24T00:00:53.810000Z, 951848
2021-12-24T00:00:55.810000Z, 951325
2021-12-24T00:00:57.810000Z, 950806
2021-12-24T00:00:59.810000Z, 950297
2021-12-24T00:01:01.810000Z, 949779
2021-12-24T00:01:03.810000Z, 949254
2021-12-24T00:01:05.810000Z, 948736
2021-12-24T00:01:07.810000Z, 948217
2021-12-24T00:01:09.810000Z, 947702
2021-12-24T00:01:11.810000Z, 947192
2021-12-24T00:01:13.810000Z, 946668
2021-12-24T00:01:15.810000Z, 946147
2021-12-24T00:01:17.810000Z, 945631
2021-12-24T00:01:19.810000Z, 945111
2021-12-24T00:01:21.810000Z, 944601
2021-12-24T00:01:23.810000Z, 944086
2021-12-24T00:01:25.810000Z, 943567
2021-12-24T00:01:27.810000Z, 943055
2021-12-24T00:01:29.810000Z, 942536
2021-12-24T00:01:31.810000Z, 942012
2021-12-24T00:01:33.810000Z, 941490
2021-12-24T00:01:35.810000Z, 940970
2021-12-24T00:01:37.810000Z, 940451
2021-12-24T00:01:39.810000Z, 939932
2021-12-24T00:01:41.810000Z, 939414
2021-12-24T00:01:43.810000Z, 938900
2021-12-24T00:01:45.810000Z, 938383
2021-12-24T00:01:47.810000Z, 937866
2021-12-24T00:01:49.810000Z, 937352
2021-12-24T00:01:51.810000Z, 936831
2021-12-24T00:01:53.810000Z, 936305
2021-12-24T00:01:55.810000Z, 935787
2021-12-24T00:01:57.810000Z, 935273
2021-12-24T00:01:59.810000Z, 934747
2021-12-24T00:02:01.810000Z, 934221
2021-12-24T00:02:03.810000Z, 933707
2021-12-24T00:02:05.810000Z, 933191
2021-12-24T00:02:07.810000Z, 932675
2021-12-24T00:02:09.810000Z, 932161
2021-12-24T00:02:11.810000Z, 931643
2021-12-24T00:02:13.810000Z, 931126
2021-12-24T00:02:15.810000Z, 930603
