# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYSE_05_VMW
# sample_count: 43200
# sample_rate_hz: 0.5
# start_time: 2021-12-24T00:00:01.810000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: -0.1
# azimuth_deg: 255.0
# dip_deg: -29.7
# instrument: VBB Pos SCI mode
# scale_factor: 1.38884E10
# scale_frequency_hz: 0.005
# scale_units: m/s**2
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2021-12-24T00:00:01.810000Z, 2066217
2021-12-24T00:00:03.810000Z, 2065840
2021-12-24T00:00:05.810000Z, 2065465
2021-12-24T00:00:07.810000Z, 2065090
2021-12-24T00:00:09.810000Z, 2064709
2021-12-24T00:00:11.810000Z, 2064336
2021-12-24T00:00:13.810000Z, 2063956
2021-12-24T00:00:15.810000Z, 2063579
2021-12-24T00:00:17.810000Z, 2063204
2021-12-24T00:00:19.810000Z, 2062827
2021-12-24T00:00:21.810000Z, 2062452
2021-12-24T00:00:23.810000Z, 2062075
2021-12-24T00:00:25.810000Z, 2061702
2021-12-24T00:00:27.810000Z, 2061328
2021-12-24T00:00:29.810000Z, 2060958
2021-12-24T00:00:31.810000Z, 2060583
2021-12-24T00:00:33.810000Z, 2060213
2021-12-24T00:00:35.810000Z, 2059848
2021-12-24T00:00:37.810000Z, 2059469
2021-12-24T00:00:39.810000Z, 2059101
2021-12-24T00:00:41.810000Z, 2058734
2021-12-24T00:00:43.810000Z, 2058363
2021-12-24T00:00:45.810000Z, 2057994
2021-12-24T00:00:47.810000Z, 2057622
2021-12-24T00:00:49.810000Z, 2057247
2021-12-24T00:00:51.810000Z, 2056872
2021-12-24T00:00:53.810000Z, 2056505
2021-12-24T00:00:55.810000Z, 2056134
2021-12-24T00:00:57.810000Z, 2055763
2021-12-24T00:00:59.810000Z, 2055388
2021-12-24T00:01:01.810000Z, 2055010
2021-12-24T00:01:03.810000Z, 2054638
2021-12-24T00:01:05.810000Z, 2054261
2021-12-24T00:01:07.810000Z, 2053885
2021-12-24T00:01:09.810000Z, 2053505
2021-12-24T00:01:11.810000Z, 2053121
2021-12-24T00:01:13.810000Z, 2052744
2021-12-24T00:01:15.810000Z, 2052368
2021-12-24T00:01:17.810000Z, 2051989
2021-12-24T00:01:19.810000Z, 2051614
2021-12-24T00:01:21.810000Z, 2051239
2021-12-24T00:01:23.810000Z, 2050864
2021-12-24T00:01:25.810000Z, 2050494
2021-12-24T00:01:27.810000Z, 2050120
2021-12-24T00:01:29.810000Z, 2049743
2021-12-24T00:01:31.810000Z, 2049365
2021-12-24T00:01:33.810000Z, 2048985
2021-12-24T00:01:35.810000Z, 2048614
2021-12-24T00:01:37.810000Z, 2048240
2021-12-24T00:01:39.810000Z, 2047862
2021-12-24T00:01:41.810000Z, 2047491
2021-12-24T00:01:43.810000Z, 2047117
2021-12-24T00:01:45.810000Z, 2046739
2021-12-24T00:01:47.810000Z, 2046361
2021-12-24T00:01:49.810000Z, 2045980
2021-12-24T00:01:51.810000Z, 2045607
2021-12-24T00:01:53.810000Z, 2045229
2021-12-24T00:01:55.810000Z, 2044849
2021-12-24T00:01:57.810000Z, 2044477
2021-12-24T00:01:59.810000Z, 2044100
2021-12-24T00:02:01.810000Z, 2043723
2021-12-24T00:02:03.810000Z, 2043355
2021-12-24T00:02:05.810000Z, 2042981
2021-12-24T00:02:07.810000Z, 2042597
2021-12-24T00:02:09.810000Z, 2042214
2021-12-24T00:02:11.810000Z, 2041839
2021-12-24T00:02:13.810000Z, 2041463
2021-12-24T00:02:15.810000Z, 2041087
2021-12-24T00:02:17.810000Z, 2040715
2021-12-24T00:02:19.810000Z, 2040337
2021-12-24T00:02:21.810000Z, 2039950
2021-12-24T00:02:23.810000Z, 2039561
2021-12-24T00:02:25.810000Z, 2039175
2021-12-24T00:02:27.810000Z, 2038794
2021-12-24T00:02:29.810000Z, 2038411
2021-12-24T00:02:31.810000Z, 2038024
