s	n	Gamma(s)
0.5	4	1.3509613310192470
0.5	5	1.3930542099508181
0.5	8	1.4696046332414068
0.5	10	1.5006976003284185
1	4	1.0000000000000000
1	5	0.9999999999999999
1	8	0.9999999917808056
1	10	1.0000000000000000
2	4	0.9999999999999999
2	5	1.0000000000000000
2	8	0.9999998666689562
2	10	0.9999999999999999
3	4	1.9999999999999998
3	5	1.9999999999999998
3	8	1.9999977745154114
3	10	2.0000000000000000
3.141592653589793	4	2.2889935294571511
3.141592653589793	5	2.2884719644629450
3.141592653589793	8	2.2881222462128266
3.141592653589793	10	2.2880796972137110
5	4	23.9999999999999964
5	5	23.9999999999999964
5	8	23.9993174174517563
5	10	24.0000000000000000
6.666667	4	388.9517580553929861
6.666667	5	389.0275870213266671
6.666667	8	388.9451684740154178
6.666667	10	389.0351423388623289
10	4	339263.9999999999417923
10	5	362879.9999999998835847
10	8	360817.6820561521453783
10	10	362880.0000000002328306
