x,y,phi,u_div,v_div
-2.0,-2.0,0.0,-0.0,-0.0
-1.75,-2.0,0.0,-0.0,0.20672469745040303
-1.5,-2.0,0.0,-0.0,0.24219839362112955
-1.25,-2.0,0.0,-0.0,0.15482995111283335
-1.0,-2.0,0.0,-0.0,-0.012256439237476243
-0.75,-2.0,0.0,-0.0,-0.22292236190428352
-0.5,-2.0,0.0,-0.0,-0.4469718638067292
-0.25,-2.0,0.0,-0.0,-0.6591215363576954
0.0,-2.0,0.0,-0.0,-0.83843185118945
0.25,-2.0,0.0,-0.0,-0.9681039671775342
0.5,-2.0,0.0,-0.0,-1.0354609323372839
0.75,-2.0,0.0,-0.0,-1.0319725121945447
1.0,-2.0,0.0,-0.0,-0.9532795069856137
1.25,-2.0,0.0,-0.0,-0.799371774800884
1.5,-2.0,0.0,-0.0,-0.5755743018498025
1.75,-2.0,0.0,-0.0,-0.29648835784724614
2.0,-2.0,0.0,-0.0,-0.0
-2.0,-1.75,0.0,0.20672469745040303,-0.0
-1.75,-1.75,-0.05168117436260076,0.12109919681056477,0.22882619385311295
-1.5,-1.75,-0.06054959840528239,-0.025947373168784843,0.284754426316087
-1.25,-1.75,-0.03870748777820834,-0.1272274164293029,0.22165572521638324
-1.0,-1.75,0.0030641098093690607,-0.18887615650855843,0.0806553336493119
-0.75,-1.75,0.05573059047607088,-0.21735771228462647,-0.10537536366449182
-0.5,-1.75,0.1117429659516823,-0.21809958722670597,-0.30922584689889066
-0.25,-1.75,0.16478038408942386,-0.19572999369136038,-0.5079388388379944
0.0,-1.75,0.2096079627973625,-0.1544912154099194,-0.6821628318317708
0.25,-1.75,0.24202599179438355,-0.09851454057391695,-0.8159468580667185
0.5,-1.75,0.25886523308432097,-0.031934272508505224,-0.8967400256884404
0.75,-1.75,0.25799312804863617,0.041090712675835084,-0.9154296660146298
1.0,-1.75,0.23831987674640343,0.11630036869683036,-0.8663241921908462
1.25,-1.75,0.199842943700221,0.1888526025679056,-0.7470811517523372
1.5,-1.75,0.14389357546245063,0.2514417084768189,-0.5587341028905689
1.75,-1.75,0.07412208946181154,0.28778715092490126,-0.3062219880973799
2.0,-1.75,0.0,0.29648835784724614,-0.0
-2.0,-1.5,0.0,0.4576523877062259,-0.0
-1.75,-1.5,-0.11441309692655648,0.284754426316087,0.2246244400014079
-1.5,-1.5,-0.1423772131580435,-0.00717046863672971,0.30845844796277944
-1.25,-1.5,-0.11082786260819162,-0.2040990926667751,0.29839918080649624
-1.0,-1.5,-0.04032766682465595,-0.32703108888087506,0.22473525817470538
-0.75,-1.5,0.05268768183224591,-0.38988118054820253,0.1098694662858185
-0.5,-1.5,0.15461292344944533,-0.40256347517350255,-0.027965454710696475
-0.25,-1.5,0.2539694194189972,-0.3729369849328802,-0.17306193112367563
0.0,-1.5,0.3410814159158854,-0.3080080192287241,-0.31156305487396896
0.25,-1.5,0.40797342903335926,-0.2145771938566695,-0.43126274451029856
0.5,-1.5,0.4483700128442202,-0.09948280794791131,-0.5216097703463698
0.75,-1.5,0.4577148330073149,0.030415833497594136,-0.5737341201827715
1.0,-1.5,0.4331620960954231,0.16834851426229258,-0.5803378169669411
1.25,-1.5,0.3735405758761686,0.3075900893002773,-0.5352406459794583
1.5,-1.5,0.27936705144528445,0.44085916365495736,-0.43213638842849034
1.75,-1.5,0.15311099404868994,0.5587341028905689,-0.26128794353304374
2.0,-1.5,0.0,0.6124439761947598,-0.0
-2.0,-1.25,0.0,0.6559735774532188,-0.0
-1.75,-1.25,-0.1639933943633047,0.42955764477334424,0.1386300976094084
-1.5,-1.25,-0.21477882238667212,0.04782736763630352,0.22178552239087573
-1.25,-1.25,-0.18790707818145647,-0.210950606217377,0.26549054189006327
-1.0,-1.25,-0.10930351927798362,-0.3774058710292362,0.27854597370699785
-0.75,-1.25,0.0007958573331616288,-0.4700584251700283,0.2665722184513071
-0.5,-1.25,0.12572569330703054,-0.5010309846362001,0.23407320720669422
-0.25,-1.25,0.2513113496512617,-0.47932759385463286,0.185410784483232
0.0,-1.25,0.36538949023434697,-0.4126920287965423,0.12522379496060598
0.25,-1.25,0.45765736404953283,-0.3085612560463178,0.05857035898538909
0.5,-1.25,0.5196701182575059,-0.17440564818097815,-0.00905004011618571
0.75,-1.25,0.5448601881400219,-0.01763733394473621,-0.07167775391357945
1.0,-1.25,0.528488785229874,0.15479384290014353,-0.1227422129446305
1.25,-1.25,0.46746326668995014,0.33705403110635634,-0.1545528566406027
1.5,-1.25,0.3599617696766958,0.5253944109232335,-0.15698894216359427
1.75,-1.25,0.2047660612283334,0.7199235393533916,-0.11450802901945878
2.0,-1.25,0.0,0.8190642449133336,-0.0
-2.0,-1.0,0.0,0.7349125829250427,-0.0
-1.75,-1.0,-0.18372814573126067,0.5065399487069627,0.004347746418442711
-1.5,-1.0,-0.25326997435348136,0.1196899756439252,0.05868171760406915
-1.25,-1.0,-0.24357313355322327,-0.14733864135065294,0.14243650311503087
-1.0,-1.0,-0.1796006536781549,-0.32594941231963126,0.239187585715131
-0.75,-1.0,-0.08059842739340763,-0.4343539470485062,0.3355477330746035
-0.5,-1.0,0.03757631984609821,-0.4837249091415776,0.42069910936463406
-0.25,-1.0,0.1612640271773812,-0.48178639717896843,0.48620199324850855
0.0,-1.0,0.27846951843558243,-0.43484844472656703,0.525944040560207
0.25,-1.0,0.3786882495406647,-0.3488510289334612,0.5361548482557239
0.5,-1.0,0.45289503290231303,-0.22973092084687985,0.5154406511823462
0.75,-1.0,0.49355370996410464,-0.08327633933085066,0.4648259280624464
1.0,-1.0,0.49453320256773836,0.08547341153526933,0.3878364206666961
1.25,-1.0,0.45081700419647,0.27334336008131355,0.29073214421382076
1.5,-1.0,0.3578615225270816,0.4809039912761013,0.18310542515679928
1.75,-1.0,0.21036500855841933,0.7157230450541632,0.07917013959715541
2.0,-1.0,0.0,0.8414600342336773,-0.0
-2.0,-0.75,0.0,0.6646690702901042,-0.0
-1.75,-0.75,-0.16616726757252606,0.4882393623774134,-0.13945837110027312
-1.5,-0.75,-0.2441196811887067,0.18591612433289167,-0.1329634717373433
-1.25,-0.75,-0.2591253297389719,-0.03044473810631515,-0.032372256220107254
-1.0,-0.75,-0.22889731213554912,-0.18429464106966353,0.1242337567443586
-0.75,-0.75,-0.16697800920414013,-0.28854690152052526,0.30724216532582904
-0.5,-0.75,-0.08462386137528649,-0.35037672446229506,0.49272544879681235
-0.25,-0.75,0.00821035302700741,-0.3740826626590599,0.6610948072764194
0.0,-0.75,0.10241746995424343,-0.3627391737893269,0.7965544937639426
0.25,-0.75,0.18957993992167085,-0.3190646454241787,0.8869671850038736
0.5,-0.75,0.2619497926663328,-0.24573456837425572,0.923883511319755
0.75,-0.75,0.3124472241087987,-0.14524156446038627,0.9025791124864773
1.0,-0.75,0.3345705748965259,-0.019299940948482086,0.8220072921159808
1.25,-0.75,0.32209719458303976,0.13232303559645953,0.6846211572250637
1.5,-0.75,0.26840905709829616,0.3138324063065681,0.49604382940607794
1.75,-0.75,0.1651809914297557,0.5368181141965923,0.26453143359766995
2.0,-0.75,0.0,0.6607239657190228,-0.0
-2.0,-0.5,0.0,0.45599584072449645,-0.0
-1.75,-0.5,-0.11399896018112411,0.37357647696961943,-0.2544367092271531
-1.5,-0.5,-0.18678823848480972,0.22677609052409106,-0.30128020654928717
-1.25,-0.5,-0.22738700544316964,0.10985858713104896,-0.21042822058450789
-1.0,-0.5,-0.2417175320503342,0.013665009226305036,-0.03229280280115665
-0.75,-0.5,-0.23421951005632216,-0.06586225499605247,0.19429656119312566
-0.5,-0.5,-0.20878640455230796,-0.12987226719098727,0.4378144759498549
-0.25,-0.5,-0.16928337646082853,-0.1779573522118382,0.6719163559126841
0.0,-0.5,-0.11980772844638886,-0.2089760669991129,0.8745485802717611
0.25,-0.5,-0.06479534296127208,-0.22152201137764876,1.0277069506117997
0.5,-0.5,-0.009046722757564483,-0.21411899336427614,1.1174598867466847
0.75,-0.5,0.042264153720866,-0.18515255853462487,1.1339735600100647
1.0,-0.5,0.08352955650974796,-0.13248454372614427,1.0713427461885545
1.25,-0.5,0.10850642558393814,-0.052620102628589294,0.9270525828394638
1.5,-0.5,0.1098396078240426,0.06081426764870754,0.7008692728505259
1.75,-0.5,0.07809929175958437,0.2196792156480852,0.39285583802346663
2.0,-0.5,0.0,0.3123971670383375,-0.0
-2.0,-0.25,0.0,0.15579565183579808,-0.0
-1.75,-0.25,-0.03894891295894952,0.18695915582812622,-0.3107011915017206
-1.5,-0.25,-0.09347957791406311,0.22992461297553687,-0.4020720112981235
